"1","Jones","Jones","Jones","Jones","Smith","Smith","Smith","Smith","Stevens","Stevens","Stevens","Stevens","Blank","Overvote"
"2","","Overvote","Smith","Stevens","","Jones","Overvote","Stevens","","Jones","Overvote","Smith","",""
"House District 5","267","2","358","79","433","311","2","222","2383","335","0","859","734","4"
"House District 6","394","1","360","192","1577","987","2","851","2756","404","1","1176","1143","3"
"Total","661","3","718","271","2010","1298","4","1073","5139","739","1","2035","1877","7"
