"1","Smith","Stevens","Blank","Exhausted","Overvote"
"05-800 Chiniak","2","32","3","1","0"
"05-810 Flats","112","238","54","24","0"
"05-815 Kodiak Island South","1","13","2","1","0"
"05-820 Kodiak No. 1","99","353","34","24","0"
"05-825 Kodiak No. 2","110","309","51","23","2"
"05-830 Mission Road","290","745","72","54","0"
"05-835 Old Harbor","4","21","2","0","0"
"05-840 Ouzinkie","4","37","5","3","0"
"05-845 Port Lions","8","37","3","5","0"
"05-860 Cordova","125","319","52","19","0"
"05-865 Seward-Lowell Point","156","255","118","30","0"
"05-870 Tatitlek","3","11","2","1","0"
"06-200 Anchor Point","490","277","70","60","0"
"06-210 Diamond Ridge","207","215","52","12","0"
"06-220 Fox River","168","89","21","8","0"
"06-230 Homer No. 1","326","324","76","10","0"
"06-240 Homer No. 2","300","265","73","19","1"
"06-250 Kachemak-Fritz Creek","318","388","71","13","0"
"06-260 Kasilof","439","490","173","71","0"
"06-270 Ninilchik","251","209","69","50","1"
"06-280 Seldovia-Kachemak Bay","35","103","25","7","0"
"District 5 - Absentee","385","1215","236","77","4"
"District 5 - Early Voting","8","22","6","1","0"
"District 5  - Question","19","49","94","4","0"
"District 6 - Absentee","614","1035","254","102","2"
"District 6 - Early Voting","571","1084","182","39","0"
"District 6  - Question","58","50","77","3","0"
"Total","5103","8185","1877","661","10"
