"1","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wilson","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Yundt","Blank","Overvote"
"2","","Overvote","Wright","Wright","Wright","Write-in","Write-in","Write-in","Yundt","Yundt","Yundt","","Wilson","Wilson","Wilson","Write-in","Write-in","Write-in","Yundt","Yundt","Yundt","","Wilson","Wilson","Wilson","Wright","Wright","Yundt","Yundt","Yundt","","Overvote","Wilson","Wilson","Wilson","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","",""
"3","","","","Write-in","Yundt","","Wright","Yundt","","Wright","Write-in","","","Write-in","Yundt","","Wilson","Yundt","","Wilson","Write-in","","","Wright","Yundt","Wilson","Yundt","","Wilson","Wright","","","","Wright","Write-in","","Overvote","Wilson","Write-in","","Overvote","Wilson","Wright","",""
"27-405 Foothills","83","0","13","0","12","0","0","0","7","25","0","60","4","0","24","0","0","0","2","18","0","5","0","1","0","1","0","0","0","0","276","0","15","66","1","10","0","18","0","1","0","0","0","74","0"
"27-410 Meadow Lakes No. 1","155","0","8","0","22","0","0","0","12","27","1","101","5","0","24","0","0","0","17","11","1","6","0","0","0","3","0","0","3","0","424","0","15","86","0","19","2","29","0","2","0","0","0","94","0"
"27-415 Meadow Lakes No. 2","136","0","6","0","24","0","0","0","11","28","0","85","13","0","17","0","0","0","13","14","0","6","0","0","0","0","0","0","0","0","321","0","11","78","0","14","0","31","0","0","0","0","0","87","1"
"27-420 Wasilla No. 1","108","0","8","1","23","2","0","0","8","32","1","50","3","0","12","0","0","0","6","17","0","5","0","0","0","1","0","0","0","0","275","0","10","60","0","12","0","21","0","0","1","1","0","85","0"
"27-425 Wasilla No. 2","112","0","16","1","24","0","0","0","15","43","0","75","3","0","25","0","0","0","6","13","0","11","0","0","0","1","0","0","0","0","359","0","11","83","0","24","0","27","0","1","0","0","0","93","0"
"28-450 Lakes No. 1","93","0","15","1","42","0","0","1","13","16","1","56","7","0","15","0","0","0","5","13","0","4","0","0","0","0","0","1","0","0","175","0","9","13","0","7","0","38","0","0","0","0","0","65","0"
"28-455 Lakes No. 2","63","0","4","0","32","0","0","1","7","7","0","41","3","0","5","0","1","0","7","9","0","5","1","0","0","0","0","0","0","0","129","0","3","16","0","4","0","28","0","0","0","0","0","40","0"
"28-460 Seldon No. 1","153","0","9","1","36","1","0","0","16","14","0","106","1","0","21","0","0","0","17","14","0","5","0","0","0","0","0","1","0","0","338","0","16","22","0","21","0","49","0","1","0","0","1","107","3"
"28-465 Seldon No. 2","124","1","5","0","41","0","0","1","12","28","1","78","6","0","33","0","0","1","12","18","0","15","1","1","2","1","0","1","0","1","314","0","11","41","0","19","0","74","0","1","0","0","0","107","0"
"28-470 Seward Meridian","65","0","6","0","16","0","0","0","5","9","0","45","5","1","8","0","0","0","2","8","0","2","0","0","0","0","0","0","1","1","131","0","6","8","0","5","0","25","0","0","0","0","1","53","0"
"28-475 Trunk","114","0","6","0","37","0","1","0","12","25","0","62","3","0","21","0","1","1","12","18","1","11","0","1","0","0","0","0","0","1","233","0","9","18","0","11","0","59","0","1","0","0","1","100","0"
"28-480 Wasilla Lake","48","0","2","0","15","0","0","0","10","5","0","31","4","0","16","0","0","0","3","8","0","4","0","1","0","0","1","0","0","0","148","0","7","15","0","11","0","25","0","0","0","0","0","41","0"
"District 27 - Absentee","274","0","11","0","35","0","0","1","37","49","0","114","7","0","25","0","0","0","12","18","1","13","1","1","0","0","0","0","0","0","303","0","23","72","0","20","0","33","0","1","0","2","3","155","3"
"District 27 - Early Voting","432","1","29","2","61","1","1","1","50","70","0","238","10","0","72","0","0","0","35","39","0","12","1","1","0","0","0","0","0","0","981","0","52","222","0","44","0","80","2","2","0","0","1","299","1"
"District 27  - Question","23","0","3","0","3","0","0","0","0","4","0","13","2","0","8","0","0","0","0","7","0","1","0","0","0","1","0","0","0","0","60","0","2","23","0","4","0","6","0","0","0","0","0","20","0"
"District 28 - Absentee","310","1","26","2","51","2","3","1","37","51","1","132","9","0","38","0","0","1","11","29","0","18","0","1","0","0","0","0","0","1","268","0","30","41","1","21","1","42","3","2","0","0","2","179","2"
"District 28 - Early Voting","545","0","36","1","137","2","0","1","65","63","0","271","20","0","68","2","0","0","28","46","4","24","0","1","0","0","1","0","0","2","1011","0","61","89","0","76","0","168","1","2","0","2","0","316","2"
"District 28  - Question","22","0","0","0","9","0","1","0","2","4","0","20","1","0","8","0","0","0","2","3","0","2","0","0","0","0","0","0","0","0","52","1","2","7","0","3","0","12","0","0","0","0","0","33","0"
"Total","2860","3","203","9","620","8","6","7","319","500","5","1578","106","1","440","2","2","3","190","303","7","149","4","8","2","8","2","3","4","6","5798","1","293","960","2","325","3","765","6","14","1","5","9","1948","12"
