"1","Wilson","Wright","Blank","Exhausted","Overvote"
"27-405 Foothills","223","137","79","277","0"
"27-410 Meadow Lakes No. 1","329","212","100","426","0"
"27-415 Meadow Lakes No. 2","294","187","93","321","1"
"27-420 Wasilla No. 1","254","122","90","275","1"
"27-425 Wasilla No. 2","305","174","104","360","0"
"28-450 Lakes No. 1","204","141","69","176","0"
"28-455 Lakes No. 2","134","98","45","129","0"
"28-460 Seldon No. 1","268","230","112","340","3"
"28-465 Seldon No. 2","269","243","122","316","0"
"28-470 Seward Meridian","116","101","55","131","0"
"28-475 Trunk","223","191","111","234","0"
"28-480 Wasilla Lake","103","99","45","148","0"
"District 27 - Absentee","506","233","168","304","3"
"District 27 - Early Voting","924","521","311","983","1"
"District 27  - Question","58","41","21","60","0"
"District 28 - Absentee","558","290","197","270","2"
"District 28 - Early Voting","1003","687","340","1013","2"
"District 28  - Question","47","49","35","52","1"
"Total","5818","3756","2097","5815","14"
