"1","Bryant","Bryant","Bryant","Bryant","Bryant","Bryant","Bryant","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Overvote","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Flora","Flora","Flora","Vance","Vance","Write-in","","Bryant","Bryant","Bryant","Bryant","Overvote","Vance","Vance","Write-in","Write-in","Write-in","","","Bryant","Bryant","Bryant","Bryant","Flora","Flora","Flora","Overvote","Write-in","Write-in","Write-in","","Bryant","Bryant","Flora","Vance",""
"3","","","Vance","Write-in","","Flora","Flora","","","Overvote","Vance","Write-in","","","Bryant","","Bryant","Vance","","","","Flora","Overvote","Write-in","","Bryant","Write-in","","","Bryant","Flora","","Flora","Vance","","",""
"House District 6","125","113","64","5","17","23","1","1689","1455","1","608","40","2","180","194","18","14","2","5","3855","116","192","1","2","361","362","6","3","48","7","5","13","2","1","3","2","312"
"Total","125","113","64","5","17","23","1","1689","1455","1","608","40","2","180","194","18","14","2","5","3855","116","192","1","2","361","362","6","3","48","7","5","13","2","1","3","2","312"
