"1","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Carpenter","Carpenter","Carpenter","Carpenter","Wegener","Wegener","Wegener","Wegener","Blank","Overvote"
"2","","Carpenter","Overvote","Wegener","","Bjorkman","Overvote","Wegener","","Bjorkman","Carpenter","Overvote","",""
"House District 7","3155","1223","1","501","2241","795","2","86","635","254","136","3","419","11"
"House District 8","2854","1013","2","508","3389","1189","4","159","764","291","113","0","384","6"
"Total","6009","2236","3","1009","5630","1984","6","245","1399","545","249","3","803","17"
