"1","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Carpenter","Carpenter","Carpenter","Carpenter","Overvote","Wegener","Wegener","Wegener","Write-in","Write-in","Write-in","","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Overvote","Wegener","Wegener","Wegener","Write-in","Write-in","Write-in","Write-in","","Bjorkman","Bjorkman","Bjorkman","Carpenter","Carpenter","Carpenter","Overvote","Write-in","Write-in","Write-in","","Bjorkman","Bjorkman","Bjorkman","Carpenter","Carpenter","Wegener","Wegener","Wegener","",""
"3","","","Overvote","Wegener","Write-in","","","Carpenter","Write-in","","Carpenter","Wegener","","","Overvote","Wegener","Write-in","","","Bjorkman","Write-in","","Bjorkman","Overvote","Wegener","","","Carpenter","Write-in","","Bjorkman","Write-in","","","Bjorkman","Carpenter","","","Carpenter","Wegener","","Bjorkman","","Bjorkman","Overvote","",""
"07-005 Central","224","60","0","36","4","0","15","18","0","0","1","0","200","54","0","19","0","0","2","3","0","2","1","0","1","44","8","11","0","1","9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","33","0"
"07-010 K Beach","294","75","0","51","2","0","14","20","0","0","0","0","228","75","0","22","1","0","2","10","0","0","0","0","0","41","3","11","0","2","12","0","0","0","0","1","3","0","0","0","0","0","0","0","0","33","1"
"07-015 Kenai No. 1","263","76","0","46","1","0","17","21","1","1","1","0","138","39","0","16","2","0","0","7","0","0","2","0","0","61","10","11","0","0","13","0","1","0","1","1","3","0","0","0","0","0","0","0","0","21","1"
"07-020 Kenai No. 2","137","36","0","23","1","1","7","18","0","0","0","0","108","33","0","14","1","0","3","2","0","1","1","0","0","26","5","6","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1"
"07-025 Kenai No. 3","128","21","0","19","0","0","13","12","0","1","0","0","71","21","0","7","0","0","0","4","0","0","0","0","0","15","1","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","1"
"07-030 Soldotna","313","59","0","50","1","0","17","30","1","0","0","0","167","41","0","19","0","0","2","3","2","1","0","0","0","65","16","2","0","1","5","0","0","0","0","1","3","0","1","0","1","0","0","0","0","45","0"
"08-035 Bear Creek","158","30","0","22","3","0","18","26","3","2","0","1","125","48","0","18","0","0","2","9","0","0","0","0","0","77","6","9","0","2","3","0","0","1","0","0","1","0","0","1","0","0","0","0","0","32","0"
"08-040 Cooper Landing","50","9","0","1","0","0","7","4","0","0","0","0","35","8","0","1","0","0","3","1","0","0","0","0","0","20","3","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0"
"08-045 Funny River No. 1","103","22","0","12","0","0","12","6","0","0","0","0","104","34","0","8","1","0","2","1","0","0","0","0","0","20","2","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","8","0"
