"1","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Blank","Overvote"
"2","","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Overvote","",""
"3","","","Kowalski","Overvote","Schwanke","","Goode","Schwanke","","","Goode","Kowalski","","","Kowalski","Overvote","Schwanke","","Fields","Schwanke","","","Fields","Kowalski","Overvote","","","Goode","Overvote","Schwanke","","Fields","Schwanke","","Fields","Goode","","","Goode","Kowalski","Overvote","","Fields","Kowalski","Overvote","","Fields","Goode","Overvote","","",""
"36-078 Glennallen","14","2","0","0","2","1","0","0","0","3","2","0","19","2","0","0","3","2","1","1","0","7","8","1","0","10","2","1","0","0","0","2","1","3","1","0","45","3","9","4","0","6","12","2","0","0","1","3","0","0","6","0"
"36-082 Grayling","5","0","0","0","0","0","2","1","0","0","0","0","16","0","1","1","1","0","1","1","0","0","1","0","0","5","0","1","0","0","0","1","0","0","1","1","5","0","0","2","1","1","1","0","0","0","0","2","1","0","1","2"
"36-086 Holy Cross","2","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","0","1","0","1","0","1","1","0","7","0","1","1","2","0","2","0","0","1","0","5","0","0","2","0","0","0","2","0","0","1","1","0","0","3","0"
"36-090 Hughes","2","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","13","1","1","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-094 Huslia","6","0","0","0","0","0","1","1","0","0","0","0","13","0","0","0","0","0","0","0","0","2","0","0","0","45","2","2","0","2","0","4","2","0","2","1","3","0","0","0","0","0","1","1","0","0","0","0","0","0","7","0"
"36-098 Kaltag","3","0","2","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","1","0","1","0","1","0","12","0","2","0","1","0","2","0","0","0","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0"
"36-102 Kenny Lake","8","0","1","0","1","0","1","1","0","0","0","0","16","0","0","0","1","0","1","0","0","7","6","0","0","20","1","1","0","0","0","0","0","3","0","1","64","4","9","1","0","12","7","5","0","1","0","1","0","0","12","0"
"36-106 Koyukuk","1","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","1","0","0","11","0","0","0","1","0","2","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0"
"36-110 Manley","1","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","1","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","1","0","13","0","0","0","0","5","0","0","0","0","0","0","0","0","2","0"
"36-114 McGrath","0","0","1","0","0","0","0","2","0","1","0","0","12","1","0","0","0","0","0","0","0","0","0","1","0","9","0","1","0","0","0","0","0","0","1","0","42","0","0","0","0","8","4","1","0","0","0","0","0","0","8","2"
"36-118 Mentasta","1","0","0","0","0","0","0","0","0","0","1","1","3","0","1","0","0","0","0","0","0","0","0","0","0","15","0","2","0","0","1","0","0","0","0","0","10","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0"
"36-122 Minto","2","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","2","0","0","1","0","0","0","15","1","2","0","3","0","4","0","0","0","0","10","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0"
"36-126 Nenana","3","1","2","0","1","1","0","1","0","0","1","0","57","0","3","0","1","1","6","3","0","13","7","2","0","58","6","3","0","3","0","5","3","1","3","4","74","1","3","3","0","11","11","2","0","1","1","0","0","0","18","0"
"36-130 Nikolai","3","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","1","0","0","0","1","0","7","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","3","0"
