"1","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Blank","Exhausted","Overvote"
"2","","Kowalski","Overvote","Schwanke","","Goode","Overvote","Schwanke","","Goode","Kowalski","Overvote","","",""
"36-001 Goldstream No. 1","52","5","0","54","240","30","0","40","99","79","12","0","26","13","1"
"36-002 Goldstream No. 2","69","7","0","51","345","52","0","55","76","67","10","0","31","14","1"
"36-010 Allakaket","6","1","0","0","17","6","0","2","1","2","2","0","0","3","0"
"36-014 Anvik","7","2","0","2","5","1","0","1","3","1","1","0","0","2","0"
"36-018 Arctic Village","7","0","0","0","38","3","0","1","1","0","0","0","0","3","0"
"36-022 Beaver","0","0","0","1","8","2","0","2","0","0","0","0","0","3","1"
"36-026 Bettles","0","0","0","2","3","0","0","0","1","3","1","0","1","0","0"
"36-034 Central","6","0","0","3","6","0","0","2","13","4","0","0","3","4","0"
"36-038 Chistochina","14","1","0","4","10","0","0","1","31","5","0","0","3","1","1"
"36-042 Circle","4","1","0","0","5","1","0","2","2","0","0","0","3","2","0"
"36-046 Copper Center","19","6","0","27","43","17","0","11","136","52","15","1","8","19","0"
"36-050 Delta Junction","78","7","1","61","20","4","0","9","99","47","5","1","20","4","2"
"36-054 Deltana","349","12","0","177","75","17","0","24","289","162","21","0","44","27","1"
"36-058 Dot Lake","15","0","0","5","1","1","0","1","13","8","0","0","5","0","0"
"36-062 Eagle","16","0","0","6","15","3","0","1","17","4","0","0","6","1","0"
"36-066 Fort Yukon","14","0","1","1","66","1","0","4","18","5","1","0","11","17","1"
"36-070 Gakona","21","4","0","5","17","5","0","2","35","9","1","0","3","8","0"
"36-074 Galena","20","4","0","4","48","3","0","7","32","15","4","0","6","3","0"
"36-078 Glennallen","23","4","0","21","13","4","0","4","51","31","8","0","6","14","0"
"36-082 Grayling","16","3","1","2","5","4","0","3","5","2","5","1","1","5","2"
"36-086 Holy Cross","5","3","1","2","7","3","1","3","5","2","4","0","3","2","0"
"36-090 Hughes","7","0","0","0","14","1","0","1","4","0","0","0","1","2","0"
"36-094 Huslia","13","0","0","2","47","9","0","6","3","2","0","0","7","6","0"
"36-098 Kaltag","7","4","0","2","12","4","0","2","2","0","1","0","3","3","0"
"36-102 Kenny Lake","16","2","0","15","21","2","0","5","68","33","3","0","12","8","0"
"36-106 Koyukuk","3","1","0","1","11","2","0","3","3","0","2","0","2","1","0"
"36-110 Manley","12","1","0","1","11","0","0","1","13","5","0","0","2","1","0"
"36-114 McGrath","13","1","0","1","9","1","0","3","43","13","0","0","8","0","2"
"36-118 Mentasta","3","1","0","0","15","3","0","0","10","3","2","0","1","1","0"
"36-122 Minto","6","2","0","1","16","6","0","3","10","2","0","0","3","2","0"
"36-126 Nenana","58","15","0","24","65","11","0","12","75","28","5","0","18","3","0"
"36-130 Nikolai","5","2","0","1","8","0","0","0","3","2","0","0","3","3","0"
"36-134 Northway","5","7","1","5","12","3","0","3","16","7","4","0","5","3","0"
"36-138 Nulato","12","0","1","0","40","5","0","3","6","1","1","0","2","6","0"
"36-142 Ruby","5","1","0","0","14","0","0","0","6","2","0","0","1","1","0"
"36-146 Shageluk","2","3","0","2","3","4","0","3","1","1","2","0","1","1","0"
"36-162 Tanana","10","0","0","2","44","1","0","3","6","1","1","0","7","4","0"
"36-166 Tetlin","6","0","0","1","12","0","0","3","5","2","1","0","0","0","0"
"36-170 Tok","89","3","0","44","39","9","0","7","205","70","18","0","29","8","1"
"36-174 Venetie","8","0","0","1","23","3","0","1","4","0","0","0","1","4","0"
"House District 36 - Judicial District 3","65","6","0","36","137","21","0","38","204","91","16","0","31","16","2"
"House District 36 - Judicial District 4","348","24","1","221","726","90","0","151","452","261","44","1","114","46","6"
"Total","1434","133","7","788","2266","332","1","423","2066","1022","190","4","431","264","21"
