"1","Goode","Kowalski","Blank","Exhausted","Overvote"
"36-001 Goldstream No. 1","190","322","26","112","1"
"36-002 Goldstream No. 2","194","462","31","90","1"
"36-010 Allakaket","9","27","0","4","0"
"36-014 Anvik","12","8","0","5","0"
"36-018 Arctic Village","7","42","0","4","0"
"36-022 Beaver","1","12","0","3","1"
"36-026 Bettles","5","4","1","1","0"
"36-034 Central","13","8","3","17","0"
"36-038 Chistochina","24","11","3","32","1"
"36-042 Circle","5","8","3","4","0"
"36-046 Copper Center","104","86","8","155","1"
"36-050 Delta Junction","194","38","20","103","3"
"36-054 Deltana","700","137","44","316","1"
"36-058 Dot Lake","28","3","5","13","0"
"36-062 Eagle","26","19","6","18","0"
"36-066 Fort Yukon","21","72","11","35","1"
"36-070 Gakona","39","25","3","43","0"
"36-074 Galena","43","62","6","35","0"
"36-078 Glennallen","79","29","6","65","0"
"36-082 Grayling","24","17","1","10","3"
"36-086 Holy Cross","13","18","3","7","0"
"36-090 Hughes","7","16","1","6","0"
"36-094 Huslia","17","62","7","9","0"
"36-098 Kaltag","13","19","3","5","0"
"36-102 Kenny Lake","66","31","12","76","0"
"36-106 Koyukuk","5","18","2","4","0"
"36-110 Manley","19","12","2","14","0"
"36-114 McGrath","28","13","8","43","2"
"36-118 Mentasta","7","20","1","11","0"
"36-122 Minto","11","25","3","12","0"
"36-126 Nenana","125","93","18","78","0"
"36-130 Nikolai","10","8","3","6","0"
"36-134 Northway","25","22","5","19","0"
"36-138 Nulato","14","49","2","12","0"
"36-142 Ruby","8","14","1","7","0"
"36-146 Shageluk","8","12","1","2","0"
"36-162 Tanana","13","49","7","10","0"
"36-166 Tetlin","9","16","0","5","0"
"36-170 Tok","206","73","29","213","1"
"36-174 Venetie","9","27","1","8","0"
"House District 36 - Judicial District 3","198","212","31","220","2"
"House District 36 - Judicial District 4","855","1011","114","498","7"
"Total","3384","3212","431","2330","25"
