"1","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"36-034 Central","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-038 Chistochina","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","1","1","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1"
"36-042 Circle","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-046 Copper Center","19","1","2","1","0","0","2","0","1","4","0","0","0","0","3","0","0","3","0","1","0","0","17","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","14","1","5","0","1","1","0","0","0","0","0","0","0","1","42","1","0","3","0","1","3","0","0","0","0","0","2","1","1","4","0","4","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","125","8","4","3","0","5","0","0","0","0","29","3","10","0","0","1","2","0","0","0","0","2","1","1","2","1","0","0","1","0","0","0","0","0","0","0","0","8","0"
"36-050 Delta Junction","4","1","0","0","1","2","0","0","0","0","0","1","0","0","1","1","4","1","0","0","0","0","76","1","1","1","0","3","3","2","0","1","1","1","0","0","0","0","29","6","12","0","0","1","3","1","0","1","0","0","0","0","18","2","0","1","0","0","3","0","0","0","0","0","1","1","1","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","93","4","3","5","0","0","0","0","0","0","28","3","3","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","20","2"
"36-054 Deltana","27","4","0","1","0","2","1","0","2","1","0","2","0","0","2","3","2","2","1","0","0","1","337","8","0","4","0","1","5","1","0","1","2","1","1","0","0","0","120","25","17","0","1","0","5","0","0","0","0","0","0","0","71","4","2","2","0","0","6","0","0","0","0","4","0","3","1","2","0","7","1","2","0","2","1","0","1","0","0","0","0","0","0","0","1","276","10","0","2","1","6","0","0","1","1","115","16","12","0","0","2","7","0","0","0","0","7","1","0","2","1","0","0","0","0","0","0","1","0","1","1","0","44","1"
"36-058 Dot Lake","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"36-062 Eagle","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","13","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"36-066 Fort Yukon","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","1"
"36-070 Gakona","8","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","19","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","15","1","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","3","1","0","0","1","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
