"1","Johnson","Wood","Blank","Overvote"
"25-305 Butte","836","259","122","1"
"25-310 Greater Palmer","430","96","57","0"
"25-315 Lazy Mountain","537","154","86","0"
"25-320 Palmer City No. 1","449","110","63","0"
"25-325 Palmer City No. 2","348","103","55","0"
"25-330 Springer Loop","533","140","78","0"
"25-335 Walby","519","141","64","0"
"District 25 - Absentee","752","177","220","0"
"District 25 - Early Voting","1237","328","213","1"
"District 25  - Question","57","21","191","0"
"Total","5698","1529","1149","2"
