"1","Menard","Moore","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","194","247","79","70","0"
"28-455 Lakes No. 2","148","162","46","50","0"
"28-460 Seldon No. 1","323","344","112","171","3"
"28-465 Seldon No. 2","384","305","130","131","0"
"28-470 Seward Meridian","156","142","50","54","1"
"28-475 Trunk","241","289","129","100","0"
"28-480 Wasilla Lake","148","122","53","72","0"
"District 28 - Absentee","491","417","216","170","0"
"District 28 - Early Voting","1108","1175","341","417","4"
"District 28  - Question","38","40","21","20","1"
"Total","3231","3243","1177","1255","9"
