"1","Menard","Wright","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","204","169","79","138","0"
"28-455 Lakes No. 2","140","131","46","89","0"
"28-460 Seldon No. 1","325","287","112","226","3"
"28-465 Seldon No. 2","388","256","130","176","0"
"28-470 Seward Meridian","164","104","50","84","1"
"28-475 Trunk","243","235","129","151","1"
"28-480 Wasilla Lake","140","126","53","76","0"
"District 28 - Absentee","491","334","216","253","0"
"District 28 - Early Voting","1105","829","341","767","3"
"District 28  - Question","41","35","21","22","1"
"Total","3241","2506","1177","1982","9"
