"1","Franks","Franks","Franks","Groh","Groh","Groh","Groh","Nelson","Nelson","Nelson","Nelson","Blank","Overvote"
"2","","Groh","Nelson","","Franks","Nelson","Overvote","","Franks","Groh","Overvote","",""
"House District 18","104","299","41","185","457","103","1","689","107","129","2","178","2"
"Total","104","299","41","185","457","103","1","689","107","129","2","178","2"
