"1","Groh","Nelson","Blank","Exhausted","Overvote"
"18-550 Government Hill","200","121","14","8","0"
"18-555 JBER","146","302","18","17","0"
"18-560 North Muldoon","154","114","9","19","0"
"18-565 Ship Creek","45","34","4","4","0"
"District 18 - Absentee","333","302","51","38","1"
"District 18 - Early Voting","167","93","10","18","1"
"District 18  - Question","0","2","72","0","0"
"Total","1045","968","178","104","2"
