"1","Franks","Nelson","Blank","Exhausted","Overvote"
"18-550 Government Hill","151","135","14","43","0"
"18-555 JBER","141","312","18","12","0"
"18-560 North Muldoon","125","130","9","32","0"
"18-565 Ship Creek","37","35","4","11","0"
"District 18 - Absentee","305","314","51","53","2"
"District 18 - Early Voting","142","102","10","34","1"
"District 18  - Question","0","2","72","0","0"
"Total","901","1030","178","185","3"
