"1","Franks","Groh","Blank","Exhausted","Overvote"
"18-550 Government Hill","63","184","14","82","0"
"18-555 JBER","121","122","18","221","1"
"18-560 North Muldoon","86","131","9","70","0"
"18-565 Ship Creek","27","31","4","25","0"
"District 18 - Absentee","176","279","51","218","1"
"District 18 - Early Voting","78","128","10","71","2"
"District 18  - Question","0","0","72","2","0"
"Total","551","875","178","689","4"
