"1","Franks","Franks","Franks","Groh","Groh","Groh","Groh","Nelson","Nelson","Nelson","Nelson","Blank","Overvote"
"2","","Groh","Nelson","","Franks","Nelson","Overvote","","Franks","Groh","Overvote","",""
"18-550 Government Hill","8","40","5","43","98","19","0","82","10","24","0","14","0"
"18-555 JBER","17","59","9","12","56","19","0","221","36","35","1","18","0"
"18-560 North Muldoon","19","41","9","32","56","25","0","70","17","18","0","9","0"
"18-565 Ship Creek","4","17","0","11","16","1","0","25","6","3","0","4","0"
"District 18 - Absentee","38","96","13","53","158","25","1","218","29","42","0","51","1"
"District 18 - Early Voting","18","46","5","34","73","14","0","71","9","7","1","10","1"
"District 18  - Question","0","0","0","0","0","0","0","2","0","0","0","72","0"
"Total","104","299","41","185","457","103","1","689","107","129","2","178","2"
