"1","Franks","Franks","Franks","Franks","Franks","Franks","Franks","Franks","Franks","Groh","Groh","Groh","Groh","Groh","Groh","Groh","Groh","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Groh","Groh","Groh","Nelson","Nelson","Write-in","Write-in","Write-in","","Franks","Franks","Franks","Nelson","Nelson","Nelson","Overvote","","Franks","Franks","Franks","Groh","Groh","Groh","Overvote","Write-in","Write-in","Write-in","","","Franks","Franks","Groh","Groh",""
"3","","","Nelson","Write-in","","Groh","","Groh","Nelson","","","Nelson","Write-in","","Franks","Write-in","","","","Groh","Write-in","","Franks","Write-in","","","Franks","Groh","","","","Nelson","","Franks",""
"18-550 Government Hill","8","29","11","0","3","2","0","0","0","43","65","30","3","8","10","1","0","81","3","7","0","8","15","0","0","1","0","1","0","1","0","0","0","0","13"
"18-555 JBER","17","36","22","1","3","6","0","0","0","12","36","18","1","2","17","0","0","218","0","33","0","12","23","0","1","3","3","0","0","0","0","0","0","1","18"
"18-560 North Muldoon","19","25","15","0","3","6","0","1","0","32","31","23","2","3","22","0","0","69","2","14","1","4","14","0","0","1","0","0","0","0","0","0","0","0","9"
"18-565 Ship Creek","4","10","7","0","0","0","0","0","0","11","11","5","0","0","1","0","0","25","1","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4"
"District 18 - Absentee","35","65","31","0","1","11","1","0","1","52","102","50","5","6","19","0","1","216","2","25","0","5","33","1","0","2","2","3","1","2","2","0","1","1","49"
"District 18 - Early Voting","18","30","15","1","1","3","0","0","0","34","44","28","1","3","11","0","0","70","4","5","0","2","5","0","1","1","0","0","1","0","0","1","0","0","10"
"District 18  - Question","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72"
"Total","101","195","101","2","11","28","1","1","1","184","289","154","12","22","80","1","1","681","12","89","1","31","93","1","2","8","5","4","2","3","2","1","1","2","175"
