"1","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","Overvote","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Write-in","Write-in","","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","McCormick","McCormick","McCormick","McCormick","McCormick","Overvote","Sosa","Sosa","Sosa","Sosa","Sosa","Write-in","Write-in","Write-in","","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Overvote","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Write-in","","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","Overvote","","Jimmie","Keppel","McCormick","Sosa","Sosa","",""
"3","","","McCormick","McCormick","Overvote","Sosa","Sosa","","Keppel","Keppel","Overvote","Sosa","Sosa","Sosa","","","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","Sosa","","","McCormick","McCormick","Overvote","Sosa","Sosa","Write-in","","Jimmie","Jimmie","Sosa","Sosa","","","Jimmie","Jimmie","McCormick","McCormick","","Jimmie","Sosa","","","Keppel","Keppel","Sosa","Sosa","Write-in","Write-in","","Jimmie","Jimmie","Overvote","Sosa","Sosa","","","Jimmie","Jimmie","Keppel","Keppel","Write-in","","","","Keppel","Keppel","McCormick","McCormick","","Jimmie","Jimmie","McCormick","McCormick","Write-in","","Jimmie","Jimmie","Keppel","Keppel","Overvote","","","Sosa","McCormick","Jimmie","Jimmie","McCormick","",""
"4","","","","Sosa","","","McCormick","","","Sosa","","","Keppel","Write-in","","","","McCormick","Overvote","","Keppel","Keppel","Keppel","","","","Sosa","","","McCormick","Sosa","","","Sosa","","Jimmie","","","","McCormick","","Jimmie","","Sosa","Jimmie","","","","Sosa","","Keppel","","Sosa","","","Sosa","","","Jimmie","","","","Keppel","","Jimmie","","","","","","McCormick","","Keppel","","","McCormick","","Jimmie","McCormick","","","Keppel","","Jimmie","","","","McCormick","Jimmie","Keppel","McCormick","Keppel","",""
"38-800 Akiachak","35","0","1","3","0","0","1","1","0","5","0","0","3","0","0","2","0","3","0","1","0","0","0","31","0","0","3","0","0","3","0","0","2","2","0","1","1","0","0","0","0","1","1","0","0","32","4","0","2","1","1","0","0","3","0","4","0","1","0","2","0","0","3","0","1","0","0","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"38-802 Akiak","15","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","1","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0"
"38-806 Atmautluak","15","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","11","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"38-808 Bethel No. 1","51","3","2","11","0","0","1","5","4","6","0","1","9","0","1","1","1","1","0","0","4","0","0","91","4","2","3","0","0","8","0","6","3","19","0","2","2","0","1","8","0","1","0","0","0","131","23","5","10","14","32","0","0","7","1","15","0","1","7","0","6","1","13","1","5","0","1","11","0","0","3","1","3","1","0","3","0","1","0","2","0","4","0","3","0","0","0","0","1","0","0","1","21","2"
"38-810 Bethel No. 2","37","1","1","4","0","0","3","9","9","5","0","5","15","0","0","4","0","3","0","2","8","0","1","96","6","3","5","0","2","7","0","8","1","13","1","0","0","0","1","7","1","2","2","0","1","121","27","4","8","12","18","0","0","10","5","13","0","2","4","2","10","6","13","2","7","1","1","9","1","0","2","0","2","1","0","1","1","1","0","0","2","2","1","3","0","1","0","0","0","0","0","0","14","5"
"38-812 Chefornak","59","0","0","6","0","0","2","0","3","2","1","0","2","0","0","0","0","2","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38-818 Eek","33","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","21","2","0","1","0","0","3","0","0","1","3","0","1","1","1","0","0","0","0","0","0","0","11","1","0","1","0","2","0","1","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
