"1","Mears","Sims","Blank","Overvote"
"21-705 East Anchorage No. 1","370","290","33","1"
"21-710 East Anchorage No. 2","358","415","30","1"
"21-715 East Anchorage No. 3","516","550","50","1"
"21-720 East Anchorage No. 4","422","398","38","0"
"21-725 East Anchorage No. 5","619","575","22","1"
"District 21 - Absentee","1529","789","74","0"
"District 21 - Early Voting","805","697","38","1"
"District 21  - Question","53","43","3","2"
"Total","4672","3757","288","7"
