"1","Eischeid","Wright","Blank","Overvote"
"22-750 Northeast Anchorage No. 1","420","383","23","0"
"22-755 Northeast Anchorage No. 2","346","397","23","0"
"22-760 Northeast Anchorage No. 3","459","400","30","4"
"22-765 Northeast Anchorage No. 4","259","290","21","4"
"District 22 - Absentee","674","433","26","3"
"District 22 - Early Voting","450","449","24","0"
"District 22  - Question","36","42","4","0"
"Total","2644","2394","151","11"
