"1","Eischeid","Eischeid","Eischeid","Wright","Wright","Wright","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Wright","Write-in","","Eischeid","Write-in","","Eischeid","Wright","",""
"22-750 Northeast Anchorage No. 1","279","132","9","286","90","6","1","0","1","22","0"
"22-755 Northeast Anchorage No. 2","234","109","3","294","101","2","1","0","0","22","0"
"22-760 Northeast Anchorage No. 3","338","114","5","324","75","1","1","2","0","29","4"
"22-765 Northeast Anchorage No. 4","178","80","1","213","69","8","2","0","0","19","4"
"District 22 - Absentee","513","148","13","356","70","7","2","0","0","24","3"
"District 22 - Early Voting","340","100","9","385","60","4","0","1","0","24","0"
"District 22  - Question","25","10","0","30","10","2","0","1","0","4","0"
"Total","1907","693","40","1888","475","30","7","4","1","144","11"
