"1","Sumner","Wright","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","230","153","68","103","1"
"28-455 Lakes No. 2","187","113","50","88","0"
"28-460 Seldon No. 1","373","189","89","118","1"
"28-465 Seldon No. 2","506","228","149","144","1"
"28-470 Seward Meridian","178","107","63","76","0"
"28-475 Trunk","305","219","120","110","2"
"28-480 Wasilla Lake","159","95","46","83","1"
"District 28 - Absentee","439","160","171","152","5"
"District 28 - Early Voting","712","357","199","299","4"
"District 28  - Question","22","18","190","15","0"
"Total","3111","1639","1145","1188","15"
