"1","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Menard","Sumner","Sumner","Sumner","Sumner","Blank","Exhausted","Overvote"
"2","","Menard","Overvote","Sumner","","Allen","Overvote","Sumner","","Allen","Menard","Overvote","","",""
"House District 28","572","215","1","702","795","319","2","605","1111","737","566","4","1145","310","14"
"Total","572","215","1","702","795","319","2","605","1111","737","566","4","1145","310","14"
