"1","Borbridge","Borbridge","Borbridge","Kaufman","Kaufman","Kaufman","Kaufman","Park","Park","Park","Park","Blank","Overvote"
"2","","Kaufman","Park","","Borbridge","Overvote","Park","","Borbridge","Kaufman","Overvote","",""
"11-205 Hillside No. 1","24","21","7","192","92","0","23","161","24","46","0","41","0"
"11-210 Hillside No. 2","26","26","1","400","200","0","44","319","44","85","0","64","2"
"11-215 Hillside No. 3","13","13","1","252","106","0","17","145","14","40","0","39","0"
"11-220 Hillside No. 4","17","8","1","290","98","0","24","158","15","47","0","27","0"
"11-225 Hillside No. 5","14","9","0","336","77","0","16","216","15","21","0","46","1"
"11-230 Hillside No. 6","20","8","3","287","113","0","30","203","28","58","0","31","0"
"11-235 Hillside No. 7","13","5","1","236","94","1","23","196","12","38","0","29","0"
"12-250 Southeast Anchorage No. 1","55","61","11","207","127","0","13","246","57","42","0","59","2"
"12-255 Southeast Anchorage No. 2","28","19","3","154","80","0","6","115","34","22","0","27","0"
"12-260 Southeast Anchorage No. 3","68","43","17","177","99","0","12","226","59","44","0","54","0"
"12-265 Southeast Anchorage No. 4","51","29","10","221","107","0","14","234","41","45","0","57","0"
"12-270 Southeast Anchorage No. 5","61","54","5","232","143","0","19","270","57","60","0","66","1"
"12-275 Southeast Anchorage No. 6","27","30","2","207","98","0","21","272","42","48","0","52","3"
"District 11 - Absentee","22","28","3","679","286","0","86","1013","70","178","1","96","0"
"District 11 - Early Voting","29","30","5","656","240","0","46","534","56","118","0","70","0"
"District 11  - Question","3","2","1","16","16","0","6","18","2","4","0","4","0"
"District 12 - Absentee","54","38","6","370","171","0","50","898","83","119","0","86","1"
"District 12 - Early Voting","70","71","9","433","172","0","31","578","76","90","0","70","0"
"District 12  - Question","4","3","1","20","10","0","4","15","2","3","0","17","1"
"Total","599","498","87","5365","2329","1","485","5817","731","1108","1","935","11"
