"1","Stokes","Tilton","Blank","Overvote"
"26-350 Fairview No. 1","60","433","23","0"
"26-355 Fairview No. 2","68","284","14","0"
"26-360 Knik Goose Bay No. 1","201","779","60","0"
"26-365 Knik Goose Bay No. 2","117","525","39","0"
"26-370 Knik Goose Bay No. 3","67","326","20","0"
"26-375 Mat-Su Campus","115","477","51","0"
"26-380 Snowshoe","148","798","41","0"
"District 26 - Absentee","205","605","105","0"
"District 26 - Early Voting","244","1084","90","0"
"District 26  - Question","10","55","168","1"
"Total","1235","5366","611","1"
