"1","Overvote","Stokes","Stokes","Stokes","Tilton","Tilton","Tilton","Write-in","Write-in","Write-in","Blank"
"2","","","Tilton","Write-in","","Stokes","Write-in","","Stokes","Tilton",""
"26-350 Fairview No. 1","0","39","21","0","367","59","7","0","0","0","23"
"26-355 Fairview No. 2","0","51","15","1","207","72","4","2","1","1","12"
"26-360 Knik Goose Bay No. 1","0","119","81","0","622","145","12","3","1","0","57"
"26-365 Knik Goose Bay No. 2","0","63","53","1","438","79","7","3","0","1","36"
"26-370 Knik Goose Bay No. 3","0","38","29","0","256","63","7","0","0","0","20"
"26-375 Mat-Su Campus","0","71","43","0","402","74","1","6","1","0","45"
"26-380 Snowshoe","0","100","48","0","663","125","8","1","0","2","40"
"District 26 - Absentee","0","148","52","3","509","86","9","7","2","1","98"
"District 26 - Early Voting","0","158","84","2","897","168","18","12","0","1","78"
"District 26  - Question","1","6","4","0","44","11","0","0","0","0","168"
"Total","1","793","430","7","4405","882","73","34","5","6","577"
