"1","Eastman","Underwood","Blank","Overvote"
"27-405 Foothills","317","328","71","0"
"27-410 Meadow Lakes No. 1","539","443","85","0"
"27-415 Meadow Lakes No. 2","424","375","96","1"
"27-420 Wasilla No. 1","295","375","72","0"
"27-425 Wasilla No. 2","348","494","101","0"
"District 27 - Absentee","573","447","174","0"
"District 27 - Early Voting","1135","1348","257","0"
"District 27  - Question","46","59","23","0"
"Total","3677","3869","879","1"
