"1","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Carrick","Carrick","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","McNeill","","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Brown","Brown","Brown","Brown","Brown","Brown","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","Overvote","Write-in","Write-in","Write-in","","Brown","Brown","Brown","Brown","Brown","Brown","Carrick","Carrick","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","Overvote","Write-in","Write-in","Write-in","Write-in","","","Brown","Brown","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","McNeill",""
"3","","","McKinley","McKinley","McNeill","Write-in","","Carrick","McNeill","McNeill","","Carrick","McKinley","McKinley","","","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","Overvote","Write-in","Write-in","Write-in","","Brown","Brown","Brown","McNeill","McNeill","Write-in","Write-in","","Brown","Brown","McKinley","McKinley","McKinley","Write-in","","Brown","Brown","Brown","McKinley","McKinley","McKinley","McNeill","","","Carrick","Carrick","McNeill","McNeill","McNeill","","Brown","Brown","Brown","McNeill","McNeill","Write-in","","Brown","Brown","Brown","Carrick","Carrick","Carrick","Overvote","Write-in","Write-in","","","Brown","Carrick","","","Carrick","Carrick","McKinley","McKinley","Overvote","","Brown","Brown","McKinley","McKinley","","Brown","Brown","Brown","Carrick","Carrick","Overvote","Write-in","Write-in","","","Brown","McKinley","McKinley","","","Carrick","McKinley","","Brown","Brown","","Brown","McNeill","","Brown","McKinley","Overvote",""
"4","","","","McNeill","McKinley","McNeill","","McNeill","","Carrick","","McKinley","","Carrick","","","","McNeill","Write-in","","McKinley","Write-in","","","McKinley","McNeill","","","McNeill","Write-in","","Brown","","Brown","","","McKinley","","Brown","Write-in","Brown","","","McKinley","McNeill","","Brown","McNeill","McKinley","","","","McNeill","","Carrick","Write-in","","","McNeill","Write-in","","Brown","Brown","","","Carrick","Write-in","","Brown","Write-in","","","Brown","","","","Brown","","","","McKinley","","Carrick","","","","McKinley","","Brown","","","Carrick","Write-in","","Brown","","","Brown","","","","","Brown","","","McNeill","McNeill","","","McKinley","","","","","Carrick","Brown","",""
"35-580 Airport","3","0","0","2","0","0","1","1","1","2","1","1","1","0","43","7","0","6","0","0","1","0","0","0","0","0","4","2","6","0","0","6","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","39","1","2","2","3","2","0","3","0","0","0","0","0","0","33","5","12","0","3","4","0","0","1","0","0","0","0","0","27","0","0","0","0","1","0","0","0","1","0","0","40","4","0","0","1","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"35-582 Chena","7","1","0","9","1","0","2","2","3","2","1","0","2","3","360","30","6","29","0","2","6","0","0","1","0","0","53","5","10","0","9","23","0","0","2","0","0","0","5","0","0","2","0","0","0","0","1","0","0","123","4","1","1","7","1","0","6","1","3","0","1","5","1","190","31","47","0","3","20","0","1","3","1","0","1","0","0","66","3","1","0","2","1","0","1","1","0","1","1","109","23","18","3","3","8","0","2","0","1","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","46"
"35-584 Ester","7","1","0","2","0","0","1","1","4","4","0","0","1","2","234","17","0","16","0","2","9","0","1","0","0","0","19","0","4","0","3","8","1","0","2","0","4","1","4","0","0","1","0","0","0","0","0","0","1","46","2","0","0","4","1","0","0","0","0","0","1","1","0","49","14","3","0","0","3","0","0","1","0","0","0","0","0","21","1","0","0","2","1","0","0","0","0","1","0","36","7","9","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","21"
"35-586 Geist","8","1","2","4","0","0","1","0","4","2","1","0","1","1","144","16","1","16","0","1","6","0","0","0","2","0","14","1","1","0","5","8","0","0","2","3","4","1","3","0","0","0","0","0","0","0","0","0","0","73","0","1","0","1","2","0","4","1","1","0","3","2","0","62","10","14","2","2","10","0","0","1","0","0","0","0","0","26","2","0","0","1","0","0","1","1","1","0","0","29","6","8","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"35-587 Lakeview","2","0","0","0","0","1","0","1","0","1","1","0","0","0","16","3","1","2","0","0","0","0","0","0","0","0","3","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","22","1","0","0","1","1","0","0","0","0","0","0","0","0","11","2","11","0","0","1","0","0","0","0","0","0","0","0","13","2","0","0","0","0","0","0","0","0","0","0","7","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"35-592 Shanly","5","1","0","1","1","0","0","1","1","1","0","0","1","1","117","13","3","21","0","0","5","0","0","0","0","0","15","0","4","0","4","5","0","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","31","1","0","1","0","2","0","1","1","1","1","0","0","0","32","5","14","0","0","4","0","0","1","1","0","0","1","0","22","1","0","1","2","2","0","2","0","0","0","0","20","9","5","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","15"
"35-595 University Hills","3","1","1","2","0","0","2","1","4","2","0","0","0","3","241","19","4","20","0","3","5","0","0","1","0","0","38","3","3","0","6","12","0","0","4","0","2","2","8","0","0","1","0","1","1","0","0","0","0","34","0","0","1","1","2","0","3","0","2","0","0","2","0","56","10","10","0","0","5","0","0","1","0","0","1","0","0","8","2","0","1","2","1","0","0","1","0","0","0","27","6","2","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","14"
