"1","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Brown","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","McNeill","Blank","Overvote"
"2","","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","","Brown","Brown","Brown","Brown","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","","Brown","Brown","Brown","Carrick","Carrick","Carrick","McNeill","McNeill","McNeill","McNeill","Overvote","","Brown","Brown","Brown","Brown","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McKinley","Overvote","",""
"3","","","McKinley","McNeill","","Carrick","McNeill","","Carrick","McKinley","","","McKinley","McNeill","Overvote","","Brown","McNeill","","Brown","McKinley","","","Carrick","McNeill","","Brown","McNeill","","Brown","Carrick","Overvote","","","","Carrick","McKinley","Overvote","","Brown","McKinley","","Brown","Carrick","Overvote","","",""
"35-580 Airport","3","0","2","0","1","1","3","1","1","1","45","7","6","1","0","4","8","6","1","1","0","39","1","4","5","3","0","0","34","17","7","0","0","27","0","0","1","0","0","1","0","40","5","5","0","0","11","0"
"35-582 Chena","7","1","9","1","2","2","5","1","0","5","362","31","35","8","0","53","16","32","2","0","5","124","4","2","8","6","5","6","193","79","23","1","0","66","3","1","3","0","1","1","2","112","44","11","0","1","47","2"
"35-584 Ester","7","1","2","0","1","1","8","0","0","3","235","17","16","11","1","20","4","11","2","4","6","46","2","0","5","0","0","2","50","17","3","0","0","21","1","0","3","0","0","0","1","37","16","2","0","0","22","0"
"35-586 Geist","8","1","6","0","1","0","6","1","0","2","144","16","19","7","0","14","2","13","2","7","4","73","0","1","3","4","2","5","63","26","12","0","0","26","2","0","1","0","1","2","0","29","14","5","0","0","15","0"
"35-587 Lakeview","2","0","0","1","0","1","1","1","0","0","16","3","3","0","0","3","1","1","0","1","0","22","1","0","2","0","0","0","11","13","1","0","0","13","2","0","0","0","0","0","0","7","3","2","0","0","5","0"
"35-592 Shanly","5","1","1","1","0","1","2","0","0","2","120","13","24","5","0","15","4","9","1","0","2","31","2","1","2","1","3","0","34","20","4","0","0","22","1","1","4","0","2","0","0","20","14","1","0","0","16","0"
"35-595 University Hills","3","1","3","0","2","1","6","0","0","3","242","20","25","9","0","38","6","18","4","2","10","35","0","1","3","3","2","2","57","20","5","0","0","8","2","1","3","0","0","1","0","27","8","2","0","0","15","0"
"35-596 University West","13","1","7","1","1","1","10","5","1","5","321","25","37","19","0","40","13","41","7","7","13","106","1","4","9","5","9","9","145","70","18","0","0","88","0","3","2","1","1","2","3","88","25","14","1","0","39","0"
"District 35 - Absentee","4","1","3","1","1","1","3","2","0","3","483","28","44","9","0","58","17","26","3","6","17","89","1","0","2","5","2","0","94","38","9","0","0","37","2","0","1","0","0","1","1","55","21","1","0","2","77","0"
"District 35 - Early Voting","9","3","2","3","2","1","11","1","0","1","642","55","55","23","0","90","25","48","6","6","13","84","2","2","7","10","3","5","138","45","14","0","1","60","3","5","3","0","1","0","2","59","18","11","0","0","41","0"
"District 35  - Question","1","1","1","0","2","0","0","0","0","1","19","3","8","1","0","1","1","0","0","0","0","7","0","0","1","0","0","0","9","2","2","0","0","4","0","1","1","0","0","0","0","1","1","2","0","0","121","0"
"Total","62","11","36","8","13","10","55","12","2","26","2629","218","272","93","1","336","97","205","28","34","70","656","14","15","47","37","26","29","828","347","98","1","1","372","16","12","22","1","6","8","9","475","169","56","1","3","409","2"
