"1","Brown","McKinley","Blank","Exhausted","Overvote"
"35-580 Airport","30","178","11","73","0"
"35-582 Chena","115","726","47","431","3"
"35-584 Ester","76","222","22","258","0"
"35-586 Geist","79","270","15","173","0"
"35-587 Lakeview","15","67","5","29","0"
"35-592 Shanly","61","163","16","145","0"
"35-595 University Hills","82","237","15","254","0"
"35-596 University West","141","614","39","417","0"
"District 35 - Absentee","110","436","77","523","2"
"District 35 - Early Voting","183","577","41","709","0"
"District 35  - Question","20","27","121","23","0"
"Total","912","3517","409","3035","5"
