"1","Foster","Foster","Foster","Ivanoff","Ivanoff","Ivanoff","Write-in","Write-in","Blank","Overvote"
"2","","Ivanoff","Write-in","","Foster","Write-in","","Ivanoff","",""
"39-900 Alakanuk","30","29","0","7","18","0","0","0","2","1"
"39-902 Brevig Mission","24","15","0","33","30","0","0","0","0","0"
"39-906 Diomede","4","3","0","1","2","0","0","0","0","0"
"39-908 Elim","13","14","0","35","41","0","0","0","0","0"
"39-910 Emmonak","59","31","0","37","17","0","0","0","4","0"
"39-912 Gambell","39","21","1","42","35","0","0","0","8","0"
"39-914 Golovin","20","7","0","10","10","1","0","0","1","0"
"39-916 Hooper Bay","69","28","0","42","21","0","1","0","5","1"
"39-918 Kotlik","57","10","0","34","7","0","0","0","1","0"
"39-920 Koyuk","28","19","0","35","17","0","0","0","1","0"
"39-921 Marshall","36","24","0","11","11","0","0","0","4","0"
"39-922 Mountain Village","38","49","0","17","26","0","0","0","1","1"
"39-924 Nome No. 1","131","61","2","68","23","1","4","0","13","0"
"39-926 Nome No. 2","225","141","3","104","84","4","0","0","19","0"
"39-928 Nunam Iqua","15","7","0","6","8","1","0","0","0","0"
"39-930 Pilot Station","26","44","0","7","14","0","0","0","1","2"
"39-931 Russian Mission","35","6","0","14","1","1","0","0","2","0"
"39-932 Savoonga","34","33","0","36","52","1","0","0","2","1"
"39-934 Scammon Bay","33","36","0","11","25","0","0","0","1","2"
"39-936 Shaktoolik","14","6","0","18","16","0","0","0","2","1"
"39-938 Shishmaref","31","27","3","71","38","2","1","0","1","1"
"39-940 St. Mary's","34","22","0","35","24","0","0","0","2","0"
"39-942 St. Michael","21","14","1","16","11","0","0","0","1","1"
"39-944 Stebbins","11","20","0","13","25","0","0","0","3","1"
"39-946 Teller","6","6","0","11","12","0","0","0","1","0"
"39-948 Unalakleet","51","39","1","74","50","2","0","0","4","0"
"39-950 Wales","3","1","0","2","2","0","0","0","0","0"
"39-952 White Mountain","23","21","1","11","12","1","0","0","0","0"
"House District 39 - Judicial District 2","302","140","8","111","70","8","4","1","38","2"
"House District 39 - Judicial District 4","30","15","1","24","19","0","0","0","1","1"
"Total","1442","889","21","936","721","22","10","1","118","15"
