"1","Holmes","Holmes","Holmes","McCabe","McCabe","McCabe","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","McCabe","Write-in","","Holmes","Write-in","","Holmes","McCabe","",""
"30-550 Anderson/Clear","42","7","0","54","13","0","2","0","0","19","0"
"30-555 Big Lake","307","120","6","469","179","2","8","3","2","97","1"
"30-560 Cantwell","20","9","2","25","13","0","0","0","0","17","0"
"30-565 Denali Park","18","3","2","12","5","0","8","0","0","23","1"
"30-570 East Schrock","29","9","1","18","25","0","0","0","0","8","0"
"30-575 Healy","65","30","5","135","73","2","6","1","1","56","0"
"30-580 Houston","159","46","4","171","74","1","4","0","0","66","0"
"30-585 Knik Goose Bay No. 4","284","126","2","358","188","2","8","4","0","141","2"
"30-590 Trapper Creek","43","13","0","37","10","0","2","0","0","14","0"
"30-595 Susitna","185","53","3","151","52","2","1","0","0","50","0"
"30-600 Talkeetna","87","33","0","61","20","0","6","1","0","52","0"
"30-605 Willow","450","99","2","293","90","4","6","3","0","49","0"
"House District 30 - Judicial District 3","1114","315","16","1481","495","14","62","9","4","442","2"
"House District 30 - Judicial District 4","110","30","3","155","51","2","19","3","0","112","0"
"Total","2913","893","46","3420","1288","29","132","24","7","1146","6"
