"1","Cacy","Cacy","Cacy","Cacy","Giessel","Giessel","Giessel","Giessel","Holland","Holland","Holland","Blank","Overvote"
"2","","Giessel","Holland","Overvote","","Cacy","Holland","Overvote","","Cacy","Giessel","",""
"09-105 Girdwood","194","150","27","0","76","87","54","0","55","8","46","17","0"
"09-110 Indian","26","16","4","0","10","9","10","0","26","1","16","5","0"
"09-115 South Anchorage No. 1","141","89","29","0","124","87","184","0","193","13","208","35","0"
"09-120 South Anchorage No. 2","119","91","29","0","147","82","169","0","246","24","264","22","0"
"09-125 South Anchorage No. 3","150","103","26","0","113","71","128","0","244","11","204","25","0"
"09-130 South Anchorage No. 4","140","110","13","0","136","78","137","0","242","29","221","30","0"
"09-135 South Anchorage No. 5","68","59","11","0","51","33","51","0","100","14","83","13","0"
"09-140 Stuckagain Heights","25","29","3","0","10","16","22","0","24","1","22","0","0"
"09-145 Whittier","9","3","2","1","20","3","10","0","26","3","10","7","0"
"10-150 Dimond","129","83","18","0","82","32","86","0","87","12","77","31","0"
"10-155 Oceanview No. 1","158","104","31","0","141","59","149","1","118","5","124","37","0"
"10-160 Oceanview No. 2","123","61","16","0","102","50","115","0","85","11","115","25","0"
"10-165 Oceanview No. 3","165","91","22","0","112","49","162","0","144","9","116","35","2"
"10-170 Oceanview No. 4","140","84","15","0","86","50","133","0","137","13","133","10","0"
"10-175 Oceanview No. 5","113","66","19","0","87","32","71","1","99","8","99","25","0"
"District 10 - Absentee","369","254","32","0","176","128","187","0","198","12","181","75","0"
"District 10 - Early Voting","169","118","24","0","101","69","111","0","107","15","94","14","0"
"District 10  - Question","6","7","2","0","5","3","8","0","2","5","5","81","0"
"District 9 - Absentee","400","473","65","0","273","330","264","0","309","27","332","97","1"
"District 9 - Early Voting","211","222","30","0","144","170","148","0","233","18","241","27","1"
"District 9  - Question","16","15","0","0","6","1","10","0","13","1","12","121","0"
"Total","2871","2228","418","1","2002","1439","2209","2","2688","240","2603","732","4"
