"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","",""
"3","","","Overvote","Palin","Peltola","","","Bye","Overvote","Peltola","","Bye","Overvote","Palin","","","Overvote","Palin","Peltola","","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","","Bye","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Bye","Overvote","","","Bye","Overvote","Palin","","Begich","Overvote","Palin","","","Begich","Bye","Overvote","",""
"02-780 Thorne Bay","7","0","0","1","2","0","18","4","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","36","26","10","0","4","4","6","0","0","0","4","2","0","0","10","4","2","0","0","3","8","0","0","0","0","3","0","0","0","1"
"02-785 Yakutat","7","0","0","1","0","0","12","4","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","5","4","0","1","0","1","0","0","0","1","1","0","0","54","7","15","0","6","9","30","0","3","0","1","2","0","0","2","0"
"03-300 Auke Bay","27","3","0","2","0","0","43","16","0","9","11","3","0","4","0","0","0","1","0","0","1","2","0","1","0","0","0","1","20","39","13","0","6","1","3","0","0","0","2","1","0","0","134","71","46","1","11","31","29","0","2","0","4","3","2","0","1","0"
"03-305 Lynn Canal","20","4","0","7","0","0","35","16","0","4","6","5","0","5","2","1","0","4","0","0","0","0","0","0","0","0","0","0","18","38","14","0","2","2","3","0","0","1","0","0","0","0","130","53","28","1","2","24","38","0","4","0","2","3","2","0","0","0"
"03-310 Melvin Park","23","2","0","2","2","0","40","16","0","3","12","9","0","2","4","0","0","2","3","0","1","2","0","1","0","3","0","1","44","42","17","0","7","1","0","0","1","1","3","3","0","0","126","33","43","0","11","25","46","0","6","0","1","10","1","0","2","0"
"03-315 Mendenhall Glacier","36","3","0","11","9","0","71","22","0","11","14","7","0","4","2","0","0","6","4","0","2","1","0","0","1","9","0","0","61","97","35","0","10","2","2","0","1","0","3","5","1","0","205","66","63","0","13","44","85","0","7","0","6","10","4","0","1","0"
"03-320 Thunder Mountain","53","5","0","6","1","0","82","19","0","16","6","6","0","4","3","0","0","3","1","0","0","0","0","1","1","0","0","0","79","81","19","0","7","1","7","0","0","0","4","5","2","0","214","57","53","0","10","31","60","0","3","0","7","4","1","0","0","0"
"03-325 Gustavus","4","2","0","0","0","0","3","1","0","2","0","2","0","0","0","0","0","3","1","0","0","1","0","0","1","0","0","0","19","9","6","0","2","0","2","0","0","0","0","2","0","0","76","16","6","0","2","14","10","0","1","0","0","1","3","0","0","0"
"03-330 Haines No. 1","33","5","0","3","4","0","43","11","0","4","3","6","0","3","4","0","0","2","1","0","2","0","0","0","0","1","0","0","53","74","17","0","5","1","5","0","1","0","10","3","2","0","181","31","36","0","7","45","57","0","2","0","6","2","2","0","3","1"
"03-335 Haines No. 2","3","1","0","2","0","0","9","3","0","0","3","0","0","1","1","0","0","0","1","0","0","0","0","0","1","1","0","0","14","17","3","0","0","0","0","0","0","0","1","0","0","0","26","4","2","0","1","14","5","0","0","0","0","1","0","0","1","0"
"03-340 Klukwan","2","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","15","0","9","0","0","4","5","0","1","0","0","0","1","0","0","0"
"03-345 Skagway","6","2","0","2","2","0","18","5","0","5","1","3","0","1","0","1","0","0","1","0","1","1","0","0","1","3","0","0","14","11","2","0","2","0","0","0","1","0","0","3","1","0","122","27","29","0","6","29","41","1","3","0","0","3","2","0","0","0"
"04-100 Douglas","15","2","0","0","1","0","23","8","0","2","8","5","0","0","1","1","0","0","2","0","0","3","0","0","0","0","0","0","19","10","5","0","1","0","1","0","0","0","1","1","1","0","222","59","56","0","8","36","61","0","7","0","1","5","2","0","4","0"
"04-105 Juneau Airport Area","21","1","0","5","4","0","31","6","0","4","6","3","0","2","5","0","0","0","0","0","0","1","0","0","1","1","0","0","25","17","7","0","4","0","1","0","0","1","2","0","1","0","69","19","14","0","6","14","13","0","0","0","1","1","1","0","5","1"
"04-110 Juneau No. 1","15","1","0","4","1","0","19","12","0","4","8","3","0","3","0","1","0","1","1","0","0","1","0","0","0","1","0","0","32","18","9","0","1","1","2","0","0","0","0","1","1","0","169","63","55","0","3","35","37","0","9","1","3","3","4","0","5","0"
"04-115 Juneau No. 2","8","1","0","4","1","0","10","8","0","2","1","2","0","1","0","0","0","1","1","0","0","0","0","1","0","1","0","0","12","6","4","0","1","1","2","0","2","0","1","0","0","0","255","63","48","0","4","38","57","0","13","0","8","4","2","0","3","0"
"04-120 Juneau No. 3","12","0","0","1","2","0","14","8","0","2","4","3","0","1","0","0","0","0","2","0","1","1","0","0","0","0","0","0","11","7","4","0","1","0","1","0","1","0","0","0","0","0","102","31","31","0","3","19","25","0","4","0","2","2","0","0","2","2"
"04-125 Lemon Creek","31","3","0","2","4","0","21","7","0","4","7","5","0","5","2","0","0","1","1","0","0","0","0","0","0","2","0","0","31","22","18","0","4","0","3","0","0","0","3","1","0","0","127","31","55","0","16","18","43","0","3","0","2","5","4","0","5","2"
"04-130 Glacier Valley Area","27","2","0","3","1","0","29","20","0","5","6","6","0","4","3","0","0","1","1","0","0","0","0","0","0","2","0","0","24","27","19","0","8","0","1","0","1","0","0","3","1","0","82","17","34","0","5","20","46","1","4","0","3","3","4","0","2","1"
"04-135 North Douglas","16","2","0","0","4","0","21","8","0","2","4","1","0","2","1","1","0","1","0","0","1","0","0","0","1","2","0","0","12","17","7","0","3","0","0","0","1","0","4","0","1","0","178","59","47","0","8","26","46","0","3","0","3","1","6","0","1","0"
"05-800 Chiniak","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","4","0","0","0","0","0","0","0","0","1","0","0","0","13","0","1","0","1","3","2","0","0","0","0","0","0","0","0","0"
"05-810 Flats","25","3","0","13","1","0","28","15","0","4","0","1","0","2","5","2","0","2","0","0","2","3","0","0","2","2","0","3","42","44","20","0","3","6","4","0","0","0","1","4","2","0","79","26","20","0","1","20","26","0","3","0","1","2","2","0","8","1"
"05-815 Kodiak Island South","3","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","1","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"05-820 Kodiak No. 1","28","3","0","5","1","0","27","10","0","4","1","3","0","4","4","1","0","2","0","0","2","1","0","0","0","1","0","1","57","49","15","0","7","4","10","0","1","0","3","9","3","0","107","34","21","0","12","24","25","0","6","0","2","11","5","0","7","0"
"05-825 Kodiak No. 2","36","1","1","7","0","0","42","9","0","4","3","2","0","3","5","0","0","2","3","0","0","2","0","0","0","2","0","0","63","39","18","0","10","2","5","1","0","0","7","10","3","0","97","18","21","0","5","21","23","0","4","0","3","6","2","0","14","1"
"05-830 Mission Road","60","7","0","21","10","0","96","49","0","16","8","7","0","8","4","1","0","4","1","0","5","1","0","0","3","1","0","0","130","144","53","0","17","8","9","0","2","0","9","14","4","0","201","53","52","0","6","40","63","0","10","0","8","16","10","0","10","0"
"05-835 Old Harbor","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","11","0","5","0","1","2","2","0","0","0","0","1","0","0","1","0"
"05-840 Ouzinkie","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","26","3","2","0","1","3","1","0","1","0","1","1","0","0","0","0"
"05-845 Port Lions","5","0","0","0","0","0","5","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","15","3","1","0","0","0","0","0","0","0","1","0","0","0","8","0","4","0","1","0","3","0","0","0","0","0","0","0","2","0"
"05-860 Cordova","21","2","0","1","1","0","23","6","0","5","4","2","0","2","4","0","0","5","2","0","0","3","0","1","0","0","0","1","37","38","22","0","11","1","1","0","1","0","5","7","2","0","130","42","48","0","6","28","24","0","8","0","4","6","7","1","3","0"
"05-865 Seward-Lowell Point","27","5","0","5","1","0","44","12","0","2","5","2","0","5","3","2","0","0","0","0","1","1","0","0","0","1","0","0","46","55","21","0","12","1","4","0","0","0","1","1","1","0","126","36","39","0","5","33","39","0","5","0","3","2","2","0","10","1"
"05-870 Tatitlek","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","1","0","1","0","3","0","0","0","1","0","0","0","1","0"
"06-200 Anchor Point","63","6","0","15","4","1","167","42","0","6","6","4","0","3","2","1","0","7","3","0","3","4","0","0","3","0","0","1","138","130","44","0","14","6","10","0","2","1","4","1","6","0","88","19","13","0","2","22","37","0","11","0","2","4","1","0","1","0"
"06-210 Diamond Ridge","31","2","0","3","2","0","79","14","0","4","2","3","0","3","2","4","0","1","1","0","2","2","0","0","0","2","0","0","44","32","11","0","0","1","4","0","1","0","0","0","0","0","106","29","20","0","5","34","32","0","6","0","1","0","0","0","3","0"
"06-220 Fox River","17","3","0","2","2","0","76","8","0","2","1","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","27","31","6","0","2","2","0","0","1","0","0","1","0","0","40","11","10","0","3","7","16","0","5","0","4","3","1","0","1","0"
"06-230 Homer No. 1","36","2","0","5","0","0","105","17","0","7","4","5","0","2","4","1","0","4","0","0","1","0","0","1","1","0","0","0","70","62","13","0","4","6","5","0","2","0","4","1","1","0","174","48","26","0","4","36","57","0","10","0","4","4","4","0","5","1"
"06-240 Homer No. 2","26","4","0","5","2","0","112","20","0","4","2","3","0","6","5","6","0","3","0","0","2","2","0","1","1","1","0","0","53","64","20","0","7","3","0","0","3","0","5","1","1","0","149","33","21","1","3","33","42","0","5","0","2","3","3","0","1","0"
"06-250 Kachemak-Fritz Creek","47","1","0","6","3","0","128","20","0","2","5","5","0","4","2","1","0","2","1","0","1","1","0","0","2","1","0","0","41","50","20","0","2","2","6","0","2","0","4","2","1","0","220","46","32","0","5","52","49","0","11","0","2","5","2","0","4","0"
"06-260 Kasilof","53","4","0","9","4","0","151","62","0","13","6","4","0","4","10","2","0","8","3","0","2","3","0","1","4","3","0","1","180","222","68","0","6","6","16","1","2","1","7","6","2","0","138","28","20","0","7","41","49","0","10","0","1","2","5","0","6","2"
"06-270 Ninilchik","29","4","0","2","1","0","85","17","0","6","2","4","0","2","3","2","0","2","0","0","4","3","0","2","0","1","0","1","94","102","15","0","3","3","6","0","2","2","6","6","5","0","66","15","15","0","7","17","21","0","11","0","2","1","4","0","5","2"
"06-280 Seldovia-Kachemak Bay","5","0","0","1","0","0","18","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","14","7","0","1","1","3","0","0","0","1","0","0","0","46","11","7","0","2","13","9","0","0","0","1","0","2","0","0","0"
"07-005 Central","43","2","0","4","1","1","108","30","0","13","2","4","0","0","8","2","0","3","2","0","1","0","0","0","2","0","0","0","127","160","48","0","9","6","6","0","0","1","8","13","4","0","76","24","25","0","6","15","27","0","10","0","4","9","3","0","1","1"
"07-010 K Beach","67","6","0","11","6","1","200","36","0","16","6","1","0","4","4","2","0","12","3","0","3","3","0","0","1","1","0","0","142","183","47","0","13","3","16","0","1","0","8","4","3","0","107","32","26","0","4","22","35","0","3","0","6","4","2","0","4","1"
"07-015 Kenai No. 1","48","2","0","15","4","0","109","28","0","14","7","5","1","2","2","0","0","7","1","0","1","2","0","0","4","1","0","1","113","143","51","0","17","2","9","0","3","0","4","9","3","0","102","28","27","0","14","33","33","0","10","0","3","7","6","0","1","1"
"07-020 Kenai No. 2","28","2","0","10","1","0","60","16","0","8","5","2","0","1","0","0","0","3","3","0","1","1","0","0","0","0","0","0","70","90","30","0","4","1","5","0","4","0","0","1","1","0","63","11","25","0","2","13","21","0","7","0","1","10","0","0","1","0"
"07-025 Kenai No. 3","26","1","0","3","2","0","71","18","0","6","4","2","0","2","1","1","0","0","0","0","0","1","0","0","0","0","0","1","51","77","19","0","4","3","4","0","0","0","4","7","0","0","47","19","14","0","1","13","16","0","2","0","3","4","1","0","0","0"
"07-030 Soldotna","48","2","0","4","7","0","126","31","1","16","9","5","0","3","4","1","0","2","5","0","2","2","0","2","3","4","0","0","120","172","31","0","18","3","9","0","2","0","9","9","2","0","129","28","30","0","12","23","41","0","11","0","2","9","4","0","4","3"
"08-035 Bear Creek","43","5","0","5","0","0","65","27","0","4","2","9","0","5","5","2","0","0","2","0","2","1","0","1","1","2","0","0","59","72","20","1","9","4","9","0","0","0","2","1","1","0","105","29","38","0","6","33","46","0","3","0","4","3","0","0","10","0"
"08-040 Cooper Landing","13","0","0","1","0","0","16","1","0","1","2","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","12","5","0","3","0","1","0","0","0","0","0","0","0","28","9","5","0","2","8","17","0","1","0","1","1","0","0","1","0"
"08-045 Funny River No. 1","35","7","0","5","1","0","55","14","0","1","2","1","0","0","2","1","0","1","1","0","0","3","0","0","0","0","0","0","60","72","14","0","3","3","7","0","0","0","2","1","2","0","41","6","12","0","1","14","16","0","1","0","0","3","2","0","6","1"
"08-050 Funny River No. 2","27","0","0","10","1","0","55","16","0","4","5","5","0","2","4","2","0","2","0","0","0","1","0","0","1","1","0","0","47","74","18","0","4","2","5","0","1","0","2","1","1","0","28","13","9","0","1","19","12","0","2","0","2","0","2","0","6","0"
"08-055 Hope","0","0","0","0","0","0","5","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","0","0","0","0","0","0","0","0","0","0","0","16","5","7","0","1","5","9","0","1","0","0","0","0","0","0","0"
"08-060 Mackey Lake","53","1","0","2","2","0","129","27","0","7","2","3","0","1","3","2","0","3","2","0","0","1","0","1","0","1","0","1","89","120","28","0","6","3","9","0","1","0","1","3","3","0","71","12","27","0","3","16","21","0","2","0","4","3","1","0","6","0"
"08-065 Moose Pass","7","0","0","0","1","0","13","2","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","13","20","3","0","1","1","0","0","0","0","1","0","0","0","32","6","9","0","1","12","6","0","3","0","2","0","0","0","0","0"
"08-070 Nikiski","81","8","0","13","4","0","154","36","0","8","5","6","0","2","5","7","0","2","2","0","3","1","0","0","0","1","0","0","117","151","52","0","7","3","12","0","3","0","2","3","3","0","54","15","19","0","4","18","17","0","3","0","3","4","3","0","17","2"
"08-075 Salamatof","70","8","0","15","6","0","151","56","0","10","1","9","0","1","6","3","0","6","0","0","1","6","0","0","1","2","0","1","104","188","51","0","11","5","12","0","1","0","5","3","1","0","47","16","20","0","5","16","31","0","6","0","7","2","1","0","14","1"
"08-080 Sterling No. 1","51","4","0","9","4","0","136","33","0","6","8","3","0","1","1","0","0","0","3","0","1","2","0","0","0","4","0","1","101","155","39","0","10","14","9","0","4","0","0","5","1","0","62","24","16","0","2","10","29","0","3","0","3","6","1","0","9","1"
"08-085 Sterling No. 2","70","6","0","9","6","0","147","42","0","5","6","2","0","2","3","2","0","3","3","0","0","5","0","0","0","0","0","2","140","183","42","0","5","7","13","0","4","0","1","4","3","0","66","14","19","0","6","17","27","0","4","0","0","2","2","0","6","0"
"09-105 Girdwood","14","3","0","1","5","0","37","8","0","8","8","3","0","1","3","1","0","0","0","0","1","2","0","1","1","2","0","0","15","19","6","0","1","0","4","0","2","0","0","1","1","0","238","58","61","0","9","71","105","0","8","0","7","1","3","0","5","0"
"09-110 Indian","5","3","0","4","0","0","12","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","7","9","1","0","3","2","1","0","0","0","0","0","1","0","32","10","6","0","0","10","6","0","1","0","1","1","1","0","3","0"
"09-115 South Anchorage No. 1","59","5","0","16","6","1","165","47","0","13","3","15","0","2","3","2","0","7","3","0","0","0","0","2","2","3","0","1","52","124","40","0","15","3","7","0","0","0","1","4","1","0","193","74","71","0","9","46","70","0","8","0","4","12","5","0","9","0"
"09-120 South Anchorage No. 2","65","3","0","21","11","0","269","61","0","26","17","7","0","7","4","1","0","3","2","0","0","2","0","1","0","2","0","0","52","125","35","0","8","0","5","0","0","0","4","1","2","0","167","71","63","0","11","56","65","0","4","0","2","6","7","0","6","1"
"09-125 South Anchorage No. 3","63","2","0","13","4","0","188","44","0","16","21","7","0","6","1","1","0","3","2","0","1","4","0","0","1","2","0","0","49","116","31","0","4","3","9","0","1","0","4","3","1","0","191","85","55","0","11","45","61","0","7","0","5","2","4","0","9","0"
"09-130 South Anchorage No. 4","56","10","0","14","5","0","201","54","0","22","25","14","0","8","4","1","0","2","3","0","0","2","0","4","0","2","0","0","28","113","39","0","7","3","3","0","0","0","2","2","3","0","212","70","82","0","12","38","68","0","11","0","4","5","3","0","4","0"
"09-135 South Anchorage No. 5","29","2","0","6","3","0","79","17","0","9","1","6","0","1","1","2","0","1","1","0","0","1","0","0","0","2","0","0","26","45","17","0","4","0","1","0","0","0","1","1","0","0","89","34","28","0","6","20","40","0","2","0","2","2","1","0","3","0"
"09-140 Stuckagain Heights","5","0","0","2","1","0","29","6","0","1","1","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","8","1","0","0","0","0","0","0","0","0","0","0","0","32","9","15","0","2","7","10","0","2","0","6","1","0","0","2","0"
"09-145 Whittier","9","0","0","0","1","0","5","1","0","3","1","2","0","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","15","6","5","0","1","1","1","0","0","0","1","0","1","0","17","4","3","0","4","0","2","0","2","0","1","1","0","0","2","0"
"10-150 Dimond","10","5","0","6","3","0","55","20","0","7","7","6","0","8","3","0","0","3","2","0","1","2","0","1","1","4","0","1","58","65","20","0","8","5","3","0","4","0","3","7","5","0","128","31","32","0","6","32","55","1","10","0","6","8","0","0","4","1"
"10-155 Oceanview No. 1","49","5","0","8","5","0","103","36","0","12","14","6","0","4","0","2","0","2","2","0","1","4","0","0","0","1","0","1","63","103","24","0","17","6","4","0","3","0","11","3","4","0","175","60","53","0","16","39","59","0","16","0","2","6","3","0","4","1"
