"1","Begich","Peltola","Blank","Exhausted","Overvote"
"House District 1","2889","3075","102","809","13"
"House District 10","2793","3753","33","561","13"
"House District 11","3458","4246","10","470","6"
"House District 12","2441","3914","36","375","8"
"House District 13","2153","3155","63","407","12"
"House District 14","1628","4091","33","391","12"
"House District 15","3053","4190","14","448","4"
"House District 16","2547","5114","40","357","10"
"House District 17","1537","4518","110","284","16"
"House District 18","813","1300","14","166","4"
"House District 19","926","2552","14","223","13"
"House District 2","2049","4491","47","972","8"
"House District 20","1697","3433","34","296","9"
"House District 21","2685","4107","85","420","16"
"House District 22","1344","2265","19","331","5"
"House District 23","3997","3681","17","634","7"
"House District 24","4313","3057","45","571","10"
"House District 25","4445","2995","54","866","18"
"House District 26","4247","1939","32","979","16"
"House District 27","3898","1802","20","939","19"
"House District 28","4075","2120","60","823","20"
"House District 29","4511","2630","77","984","18"
"House District 3","2593","5651","15","540","5"
"House District 30","3945","2782","48","1329","31"
"House District 31","1890","2969","17","442","12"
"House District 32","1590","1435","23","353","5"
"House District 33","3670","1714","45","818","9"
"House District 34","3327","3580","24","742","20"
"House District 35","2677","4710","11","470","10"
"House District 36","3146","3779","80","926","21"
"House District 37","997","2266","96","287","19"
"House District 38","420","3188","25","111","19"
"House District 39","540","3039","24","189","25"
"House District 4","1492","5844","44","321","12"
"House District 40","518","1730","40","183","5"
"House District 5","2104","3116","91","668","10"
"House District 6","3949","4701","37","1141","19"
"House District 7","3872","2477","17","1064","13"
"House District 8","4923","2545","103","1208","14"
"House District 9","4272","5445","80","480","7"
"House District 99","9","92","0","3","0"
"Total","107433","133491","1779","23581","513"
