"1","Bynum","Bynum","Bynum","Bynum","Bynum","Bynum","Bynum","Bynum","Bynum","Bynum","Echohawk","Echohawk","Echohawk","Echohawk","Echohawk","Echohawk","Echohawk","Echohawk","Echohawk","Echohawk","Moran","Moran","Moran","Moran","Moran","Moran","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Echohawk","Echohawk","Echohawk","Moran","Moran","Moran","Write-in","Write-in","Write-in","","Bynum","Bynum","Bynum","Moran","Moran","Moran","Overvote","Write-in","Write-in","","Bynum","Bynum","Echohawk","Echohawk","Echohawk","","Echohawk","Echohawk","Echohawk","",""
"3","","","Moran","Write-in","","Echohawk","Write-in","","Echohawk","Moran","","","Moran","Write-in","","Bynum","Write-in","","","Moran","","","Echohawk","","Bynum","Write-in","","","Bynum","Moran","",""
"01-600 Ketchikan No. 1","165","9","16","0","10","28","0","0","0","0","65","3","25","0","45","27","1","0","0","0","65","12","17","34","24","0","0","0","1","0","13","1"
"01-610 Ketchikan No. 2","314","13","18","0","14","21","1","2","0","0","99","7","10","1","52","29","2","0","1","1","111","8","33","47","24","0","0","0","1","0","37","0"
"01-620 Ketchikan No. 3","252","13","6","0","13","11","0","1","0","0","46","3","7","0","24","16","1","0","0","0","82","22","7","26","12","1","1","0","0","0","16","1"
"01-640 North Tongass No. 1","216","2","13","0","10","15","0","0","2","0","23","1","5","0","15","4","0","0","0","0","46","10","4","19","16","1","0","0","0","0","11","0"
"01-650 North Tongass No. 2","353","11","20","0","27","23","0","3","0","1","18","4","3","0","31","18","1","1","1","0","91","21","14","56","25","1","5","0","0","0","12","0"
"01-660 Saxman","25","2","3","0","2","4","0","0","0","0","30","0","7","0","4","7","1","0","2","0","12","0","3","2","6","0","0","0","0","0","4","0"
"01-670 South Tongass","278","8","24","1","20","25","0","1","0","0","39","9","9","1","39","12","1","0","1","0","63","10","15","41","22","0","0","0","0","0","10","0"
"01-675 Coffman Cove","64","0","1","0","1","1","0","0","0","0","10","0","1","0","2","0","0","0","0","0","10","1","2","3","1","0","1","0","0","0","12","0"
"01-680 Metlakatla","66","4","10","0","2","8","0","0","0","0","222","14","30","0","14","36","0","0","0","1","24","2","3","4","4","1","0","0","0","0","12","0"
"01-690 Wrangell","331","17","35","0","16","25","0","0","0","0","79","5","14","1","16","29","0","0","0","0","41","5","14","18","11","0","0","0","0","0","20","0"
"District 1 - Absentee","1216","30","61","4","66","83","1","4","3","1","258","13","21","1","198","106","4","0","1","1","357","58","67","201","92","6","4","1","1","1","107","3"
"District 1 - Early Voting","5","0","1","0","1","0","0","0","0","0","3","0","1","0","0","1","0","0","0","0","1","1","0","2","3","0","0","0","0","0","1","0"
"District 1  - Question","139","10","15","0","5","20","1","0","0","0","45","0","9","0","17","9","0","0","0","0","30","6","5","8","11","1","0","0","1","0","17","0"
"Total","3424","119","223","5","187","264","3","11","5","2","937","59","142","4","457","294","11","1","6","3","933","156","184","461","251","11","11","1","4","1","272","5"
