"1","Cunningham","Wielechowski","Blank","Overvote"
"21-705 East Anchorage No. 1","295","440","14","0"
"21-710 East Anchorage No. 2","431","334","21","0"
"21-715 East Anchorage No. 3","487","504","26","1"
"21-720 East Anchorage No. 4","391","431","18","1"
"21-725 East Anchorage No. 5","552","573","26","0"
"22-750 Northeast Anchorage No. 1","293","391","20","0"
"22-755 Northeast Anchorage No. 2","275","360","14","0"
"22-760 Northeast Anchorage No. 3","335","449","17","0"
"22-765 Northeast Anchorage No. 4","200","259","14","1"
"District 21 - Absentee","531","1170","64","0"
"District 21 - Early Voting","315","535","13","1"
"District 21  - Question","20","15","104","0"
"District 22 - Absentee","223","516","43","0"
"District 22 - Early Voting","162","274","7","1"
"District 22  - Question","15","28","66","1"
"Total","4525","6279","467","6"
