"1","Johnson","Kopp","Blank","Overvote"
"10-150 Dimond","273","407","141","3"
"10-155 Oceanview No. 1","337","566","140","2"
"10-160 Oceanview No. 2","268","390","60","0"
"10-165 Oceanview No. 3","342","506","110","3"
"10-170 Oceanview No. 4","288","484","59","3"
"10-175 Oceanview No. 5","221","368","85","1"
"District 10 - Absentee","535","1077","292","1"
"District 10 - Early Voting","553","866","137","1"
"District 10  - Question","15","27","21","0"
"Total","2832","4691","1045","14"
