"1","Gottshall","Josephson","Blank","Overvote"
"13-305 South Midtown No. 1","125","89","9","0"
"13-310 South Midtown No. 2","560","495","33","0"
"13-315 South Midtown No. 3","485","470","25","0"
"13-320 South Midtown No. 4","468","441","44","1"
"13-325 South Midtown No. 5","381","574","33","1"
"District 13 - Absentee","492","989","51","2"
"District 13 - Early Voting","701","660","31","0"
"District 13  - Question","60","34","6","0"
"Total","3272","3752","232","4"
