"1","Armstrong","Armstrong","Armstrong","Armstrong","Vazquez","Vazquez","Vazquez","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Vazquez","Write-in","","Armstrong","Write-in","","Armstrong","Vazquez",""
"16-450 West Anchorage No. 1","342","0","70","6","190","33","1","0","1","0","13"
"16-455 West Anchorage No. 2","249","0","90","7","235","84","4","0","0","0","18"
"16-460 West Anchorage No. 3","342","0","131","11","346","107","6","2","0","0","26"
"16-465 West Anchorage No. 4","142","0","50","5","209","62","5","0","0","0","12"
"16-470 West Anchorage No. 5","268","0","68","3","394","98","12","0","0","0","21"
"16-475 West Anchorage No. 6","222","1","82","8","325","67","11","3","0","0","12"
"16-480 West Anchorage No. 7","182","0","76","3","198","64","4","0","0","0","10"
"District 16 - Absentee","957","0","180","16","459","93","9","8","3","1","84"
"District 16 - Early Voting","589","0","118","14","323","72","9","4","1","1","22"
"District 16  - Question","9","0","3","0","15","1","0","0","0","0","146"
"Total","3302","1","868","73","2694","681","61","17","5","2","364"
