"1","Eibeck","Wells","Blank","Exhausted","Overvote"
"15-405 Southwest Anchorage No. 1","244","239","30","83","0"
"15-410 Southwest Anchorage No. 2","315","291","29","90","1"
"15-415 Southwest Anchorage No. 3","377","375","38","119","2"
"15-420 Southwest Anchorage No. 4","254","311","23","66","1"
"15-425 Southwest Anchorage No. 5","289","354","40","87","0"
"15-430 Southwest Anchorage No. 6","463","435","39","206","2"
"District 15 - Absentee","457","995","76","225","1"
"District 15 - Early Voting","355","461","20","119","1"
"District 15  - Question","21","19","147","9","0"
"Total","2775","3480","442","1004","8"
