"1","Jackson","Jackson","Jackson","Jackson","Jackson","Jackson","Jackson","Jackson","Jackson","Jackson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Nelson","Overvote","Saddler","Saddler","Saddler","Saddler","Saddler","Saddler","Saddler","Saddler","Saddler","Saddler","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Nelson","Nelson","Nelson","Saddler","Saddler","Saddler","Write-in","Write-in","Write-in","","Jackson","Jackson","Saddler","Saddler","Saddler","Write-in","Write-in","Write-in","","","Jackson","Jackson","Jackson","Jackson","Nelson","Nelson","Write-in","Write-in","Write-in","","Jackson","Jackson","Nelson","Saddler","Saddler","Saddler",""
"3","","","Saddler","Write-in","","Nelson","Write-in","","Nelson","Saddler","","","Saddler","","Jackson","Write-in","","Jackson","Saddler","","","","Nelson","Overvote","Write-in","","Jackson","","Jackson","Nelson","","","Saddler","","","Jackson","Nelson",""
"24-850 Chugach Park No. 2","65","3","5","0","96","26","2","1","0","1","75","10","32","16","16","0","2","0","1","1","175","176","47","0","3","7","7","4","0","0","2","0","0","0","0","1","0","42"
"24-855 Chugiak","39","1","5","0","32","11","0","0","0","0","44","5","12","3","4","0","2","0","0","0","81","87","25","0","1","6","3","0","0","1","1","0","0","0","0","0","0","7"
"24-860 Eagle River No. 3","71","3","13","0","60","21","1","0","1","0","58","11","28","2","13","0","0","0","1","0","116","118","54","0","1","7","8","2","0","0","0","2","0","0","0","1","0","19"
"24-865 Eklutna","64","3","12","0","93","24","6","0","0","0","84","6","28","13","25","0","3","1","0","0","147","144","55","0","3","10","9","1","0","0","1","1","0","0","0","1","0","37"
"24-870 Fire Lake","67","3","5","0","111","31","2","0","0","0","70","9","29","13","16","1","0","1","0","2","195","137","84","0","3","7","20","2","1","0","1","0","0","0","0","0","0","26"
"24-875 Peters Creek No. 1","95","2","6","0","131","34","5","0","0","2","91","10","27","17","11","0","1","2","1","0","233","256","77","1","7","13","14","3","1","0","0","0","0","0","3","0","1","43"
"24-880 Peters Creek No. 2","55","2","7","2","80","19","1","1","1","0","60","11","15","6","13","0","0","0","0","1","116","115","44","0","5","5","4","0","0","0","0","0","1","0","0","0","0","29"
"District 24 - Absentee","71","7","8","0","134","29","3","2","1","2","229","40","53","40","30","0","2","3","3","2","261","279","93","0","5","14","18","0","0","2","15","0","1","1","5","0","2","81"
"District 24 - Early Voting","87","10","9","0","132","28","4","1","0","1","163","19","39","43","37","2","2","0","1","2","238","256","77","0","4","21","27","1","0","2","8","1","0","1","1","2","0","43"
"District 24  - Question","7","1","1","0","8","6","0","0","0","0","9","0","4","0","1","0","0","0","0","0","15","9","11","0","0","0","1","0","0","0","4","0","0","0","0","0","0","137"
"Total","621","35","71","2","877","229","24","5","3","6","883","121","267","153","166","3","12","7","7","8","1577","1577","567","1","32","90","111","13","2","5","32","4","2","2","9","5","3","464"
