"1","Jackson","Jackson","Jackson","Nelson","Nelson","Nelson","Saddler","Saddler","Saddler","Blank","Overvote"
"2","","Nelson","Saddler","","Jackson","Saddler","","Jackson","Nelson","",""
"24-850 Chugach Park No. 2","66","8","125","77","42","33","179","227","14","44","1"
"24-855 Chugiak","39","6","43","46","17","7","81","113","10","8","0"
"24-860 Eagle River No. 3","73","17","82","58","39","16","118","174","15","19","0"
"24-865 Eklutna","65","15","123","87","35","38","148","203","19","38","0"
"24-870 Fire Lake","67","8","144","70","39","30","197","225","27","27","2"
"24-875 Peters Creek No. 1","95","8","172","92","39","29","239","342","28","43","0"
"24-880 Peters Creek No. 2","56","12","101","60","26","19","116","164","9","29","1"
"District 24 - Absentee","73","16","169","232","96","73","266","377","36","96","2"
"District 24 - Early Voting","89","19","165","166","58","83","240","339","50","51","2"
"District 24  - Question","7","2","14","9","4","1","15","20","1","141","0"
"Total","630","111","1138","897","395","329","1599","2184","209","496","8"
