"1","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Eastman","Eastman","Eastman","Eastman","Eastman","Eastman","Eastman","Eastman","Graham","Graham","Graham","Graham","Graham","Graham","Graham","Graham","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Eastman","Eastman","Eastman","Graham","Graham","Graham","Graham","Overvote","Write-in","Write-in","","Carpenter","Carpenter","Graham","Graham","Graham","Overvote","Write-in","","Carpenter","Carpenter","Carpenter","Eastman","Eastman","Write-in","Write-in","","","Carpenter","Carpenter","Carpenter","Eastman","Eastman","Eastman","Graham","Graham","Graham",""
"3","","","Graham","Overvote","","Eastman","Overvote","Write-in","","","Graham","","","Graham","","Carpenter","Overvote","","","","","Eastman","Write-in","","Carpenter","","Eastman","","","","Eastman","Graham","","Carpenter","Graham","","Carpenter","Eastman",""
"27-405 Foothills","36","10","22","0","8","25","0","0","0","0","0","132","18","76","18","44","0","0","0","62","12","57","1","7","18","0","0","1","6","0","0","0","1","1","0","1","0","0","85"
"27-410 Meadow Lakes No. 1","57","24","14","0","19","42","0","0","0","0","0","260","31","110","16","74","1","0","0","81","25","65","1","7","15","0","0","2","1","0","0","1","0","1","0","0","0","0","127"
"27-415 Meadow Lakes No. 2","39","11","15","0","14","24","0","0","0","0","0","205","18","98","8","54","0","1","0","64","16","53","0","6","21","0","1","0","5","0","0","0","0","0","0","0","0","0","102"
"27-420 Wasilla No. 1","45","12","21","0","17","28","0","0","0","1","0","138","26","65","18","46","0","0","2","60","29","61","1","6","24","0","0","0","9","0","0","0","0","0","0","1","0","1","107"
"27-425 Wasilla No. 2","66","26","28","0","21","44","1","0","1","0","1","189","38","105","28","72","0","0","0","106","30","70","0","7","28","0","0","1","3","0","1","0","1","1","0","0","0","0","117"
"District 27 - Absentee","63","13","17","0","20","35","0","1","0","3","0","185","29","88","8","39","0","0","0","61","38","49","1","3","5","0","0","3","17","0","0","5","0","0","1","4","1","0","168"
"District 27 - Early Voting","107","26","31","1","43","58","0","0","0","2","0","298","40","142","33","90","0","0","1","170","77","119","2","12","44","2","0","4","18","1","0","2","0","2","1","0","9","0","179"
"District 27  - Question","10","3","4","0","2","5","0","0","0","0","0","19","2","10","1","4","0","0","0","6","1","8","0","1","1","0","0","1","2","0","0","0","1","1","0","0","0","0","152"
"Total","423","125","152","1","144","261","1","1","1","6","1","1426","202","694","130","423","1","1","3","610","228","482","6","49","156","2","1","12","61","1","1","8","3","6","2","6","10","1","1037"
