"1","Eastman","Graham","Blank","Exhausted","Overvote"
"27-405 Foothills","322","191","91","36","1"
"27-410 Meadow Lakes No. 1","531","256","128","57","2"
"27-415 Meadow Lakes No. 2","410","199","107","39","0"
"27-420 Wasilla No. 1","328","228","116","46","0"
"27-425 Wasilla No. 2","489","308","120","66","2"
"District 27 - Absentee","380","223","185","66","3"
"District 27 - Early Voting","665","538","197","110","4"
"District 27  - Question","45","24","154","10","1"
"Total","3170","1967","1098","430","13"
