"1","Harary","Kohlhaas","Blank","Exhausted","Overvote"
"20-650 University No. 1","78","42","13","81","1"
"20-655 University No. 2","262","187","39","214","0"
"20-660 University No. 3","320","157","37","289","1"
"20-665 University No. 4","135","78","14","138","0"
"20-670 University No. 5","529","236","59","405","4"
"District 20 - Absentee","335","217","94","602","4"
"District 20 - Early Voting","224","133","19","309","1"
"District 20  - Question","6","12","182","12","0"
"Total","1889","1062","457","2050","11"
