"1","Bauer","Harary","Blank","Exhausted","Overvote"
"20-650 University No. 1","64","59","13","78","1"
"20-655 University No. 2","215","203","39","245","0"
"20-660 University No. 3","251","241","37","274","1"
"20-665 University No. 4","118","108","14","125","0"
"20-670 University No. 5","485","325","59","359","5"
"District 20 - Absentee","360","210","94","585","3"
"District 20 - Early Voting","186","165","19","314","2"
"District 20  - Question","7","8","182","14","1"
"Total","1686","1319","457","1994","13"
