"1","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Blank","Overvote"
"2","","Gray","Gray","Gray","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","","Bauer","Bauer","Bauer","Bauer","Harary","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","","Bauer","Bauer","Bauer","Gray","Gray","Gray","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","","Bauer","Bauer","Bauer","Gray","Gray","Gray","Harary","Harary","Harary","Harary","Overvote","",""
"3","","","Harary","Kohlhaas","","Gray","Kohlhaas","","Gray","Harary","","","","Harary","Kohlhaas","Overvote","","Bauer","Kohlhaas","Overvote","","Bauer","Harary","Overvote","","","","Gray","Kohlhaas","","Bauer","Kohlhaas","","Bauer","Gray","","","","Gray","Harary","","Bauer","Harary","","Bauer","Gray","Overvote","","",""
"20-650 University No. 1","18","0","1","0","16","2","10","0","4","1","0","62","1","2","1","0","1","3","3","0","11","5","11","0","0","12","11","3","6","1","0","7","0","0","0","0","2","0","0","2","3","1","1","0","0","0","0","0","13","1"
"20-655 University No. 2","54","0","3","2","52","14","23","3","3","7","0","153","7","8","3","0","1","5","18","0","65","23","30","0","0","57","35","5","12","2","5","11","7","2","2","0","21","3","2","6","6","2","7","1","2","1","0","0","39","0"
"20-660 University No. 3","59","3","0","1","70","14","29","1","4","5","0","217","10","9","7","0","12","12","25","1","49","29","35","0","0","45","57","6","10","4","6","10","1","7","1","1","6","1","1","5","2","3","3","1","3","1","0","0","37","1"
"20-665 University No. 4","31","3","3","1","23","1","20","0","2","3","0","96","8","4","1","0","5","4","11","0","25","11","22","0","0","21","20","3","9","3","0","6","1","0","1","0","4","0","0","4","0","3","0","0","1","1","0","0","14","0"
"20-670 University No. 5","120","7","6","2","144","20","60","10","4","8","0","268","10","19","8","1","7","7","30","1","75","45","34","2","0","79","79","15","23","5","5","11","5","9","4","0","11","5","0","10","5","6","6","1","2","2","0","0","59","3"
"District 20 - Absentee","106","4","11","3","97","10","34","2","2","5","2","471","21","17","16","0","26","13","30","0","96","20","39","1","1","37","22","5","17","0","4","7","1","1","3","0","12","2","0","3","6","5","1","1","0","3","0","0","94","1"
"District 20 - Early Voting","47","1","3","0","50","7","21","2","1","4","0","252","9","10","3","0","18","6","14","0","51","17","26","1","0","32","37","2","9","1","1","7","4","1","1","0","10","3","1","5","1","2","3","0","0","2","1","0","19","1"
"District 20  - Question","3","0","0","0","0","0","1","0","0","0","0","9","0","1","0","0","1","0","1","0","3","1","3","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","182","0"
"Total","438","18","27","9","452","68","198","18","20","33","2","1528","66","70","39","1","71","50","132","2","375","151","200","4","1","283","263","39","86","16","21","59","19","20","12","1","67","14","4","35","24","23","22","4","8","10","1","1","457","7"
