"1","Mina","Wyatt","Blank","Overvote"
"19-605 Airport Heights No. 1","494","117","122","0"
"19-610 Airport Heights No. 2","336","149","130","1"
"19-615 Mountainview No. 1","182","70","51","1"
"19-620 Mountainview No. 2","122","69","56","0"
"19-625 South Mountainview","194","77","98","0"
"District 19 - Absentee","585","124","128","3"
"District 19 - Early Voting","314","63","68","0"
"District 19  - Question","42","25","106","1"
"Total","2269","694","759","6"
