"1","Mina","Mina","Mina","Overvote","Write-in","Write-in","Write-in","Wyatt","Wyatt","Wyatt","Blank"
"2","","Write-in","Wyatt","","","Mina","Wyatt","","Mina","Write-in",""
"19-605 Airport Heights No. 1","262","0","232","0","18","0","1","63","53","0","104"
"19-610 Airport Heights No. 2","139","2","194","1","23","1","1","68","80","0","107"
"19-615 Mountainview No. 1","91","0","91","1","6","0","1","33","36","0","45"
"19-620 Mountainview No. 2","53","0","69","0","7","0","2","33","31","3","49"
"19-625 South Mountainview","70","1","121","0","17","2","3","35","37","2","81"
"District 19 - Absentee","297","0","284","3","15","4","3","47","69","5","113"
"District 19 - Early Voting","147","2","164","0","9","1","1","29","33","0","59"
"District 19  - Question","21","0","20","1","1","1","1","14","10","0","105"
"Total","1080","5","1175","6","96","9","13","322","349","10","663"
