"1","Henslee","Josephson","Blank","Overvote"
"13-305 South Midtown No. 1","108","78","2","0"
"13-310 South Midtown No. 2","520","401","17","0"
"13-315 South Midtown No. 3","524","442","18","1"
"13-320 South Midtown No. 4","401","364","25","1"
"13-325 South Midtown No. 5","369","455","15","0"
"District 13 - Absentee","364","752","73","0"
"District 13 - Early Voting","317","406","7","0"
"District 13  - Question","20","12","98","0"
"Total","2623","2910","255","2"
