"1","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","Dibert","LeBon","LeBon","LeBon","LeBon","LeBon","LeBon","LeBon","LeBon","LeBon","LeBon","Nash","Nash","Nash","Nash","Nash","Nash","Nash","Nash","Nash","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","LeBon","LeBon","LeBon","Nash","Nash","Nash","Nash","Overvote","Write-in","Write-in","Write-in","Write-in","","Dibert","Dibert","Dibert","Nash","Nash","Nash","Overvote","Write-in","Write-in","","Dibert","Dibert","Dibert","LeBon","LeBon","LeBon","Write-in","Write-in","","","Dibert","LeBon","LeBon","Nash","Nash","Nash",""
"3","","","Nash","Write-in","","LeBon","Overvote","Write-in","","","LeBon","Nash","Overvote","","","Nash","Write-in","","Dibert","Write-in","","","Nash","","","LeBon","Write-in","","Dibert","Write-in","","LeBon","","","","","Dibert","","Dibert","LeBon",""
"31-446 Aurora","177","47","51","0","10","55","0","0","0","1","0","0","0","102","15","19","0","92","42","0","0","0","1","71","7","19","0","91","30","0","2","0","0","3","0","0","1","0","1","0","18"
"31-455 Fairbanks No. 1","213","70","68","4","15","55","1","0","0","1","2","1","0","105","8","20","1","82","33","0","1","1","0","81","6","14","0","77","26","1","2","0","1","1","0","0","1","0","0","1","20"
"31-480 Fairbanks No. 2","183","69","60","2","10","53","0","0","0","3","0","1","0","121","18","30","1","84","43","6","0","0","0","59","4","12","0","65","32","0","0","1","2","0","0","0","1","0","0","0","14"
"31-485 Fairbanks No. 3","183","26","66","2","10","57","0","0","0","2","2","1","0","65","6","20","0","54","27","0","0","0","2","63","6","13","1","74","34","0","0","1","2","1","0","0","0","0","0","0","13"
"District 31 - Absentee","223","58","40","1","5","33","0","1","0","2","0","1","0","99","26","12","2","67","34","0","0","0","0","48","2","11","0","42","16","3","1","0","1","9","1","1","0","7","1","0","56"
"District 31 - Early Voting","330","86","76","1","15","72","0","3","1","5","2","4","1","91","21","17","0","84","28","2","0","0","0","53","3","10","0","61","19","2","4","0","3","3","0","0","1","4","0","1","18"
"District 31  - Question","11","0","2","0","0","3","0","0","0","0","0","0","0","2","0","0","0","2","0","1","0","0","0","3","1","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","103"
"Total","1320","356","363","10","65","328","1","4","1","14","6","8","1","585","94","118","4","465","207","9","1","1","3","378","29","79","1","411","161","6","10","2","9","17","1","1","4","11","2","2","242"
