"1","Dibert","Dibert","Dibert","Dibert","LeBon","LeBon","LeBon","LeBon","Nash","Nash","Nash","Blank","Overvote"
"2","","LeBon","Nash","Overvote","","Dibert","Nash","Overvote","","Dibert","LeBon","",""
"31-446 Aurora","178","98","65","0","102","35","135","0","73","27","121","21","0"
"31-455 Fairbanks No. 1","214","144","72","0","106","30","115","1","83","20","105","21","1"
"31-480 Fairbanks No. 2","186","131","64","0","121","50","133","0","59","16","98","14","2"
"31-485 Fairbanks No. 3","185","96","68","0","65","26","83","0","63","20","109","14","2"
"District 31 - Absentee","226","99","40","0","100","40","101","0","56","14","61","65","1"
"District 31 - Early Voting","335","165","94","2","91","39","114","0","61","13","83","21","3"
"District 31  - Question","11","2","3","0","2","0","3","0","4","1","5","103","0"
"Total","1335","735","406","2","587","220","684","1","399","111","582","259","9"
