"1","Dibert","Dibert","Dibert","Dibert","LeBon","LeBon","LeBon","LeBon","Nash","Nash","Nash","Blank","Overvote"
"2","","LeBon","Nash","Overvote","","Dibert","Nash","Overvote","","Dibert","LeBon","",""
"House District 31","1335","735","406","2","587","220","684","1","399","111","582","259","9"
"Total","1335","735","406","2","587","220","684","1","399","111","582","259","9"
