"1","Dibert","Nash","Blank","Exhausted","Overvote"
"31-446 Aurora","376","356","21","102","0"
"31-455 Fairbanks No. 1","460","323","21","106","2"
"31-480 Fairbanks No. 2","431","306","14","121","2"
"31-485 Fairbanks No. 3","375","275","14","65","2"
"District 31 - Absentee","405","232","65","100","1"
"District 31 - Early Voting","635","271","21","91","3"
"District 31  - Question","16","13","103","2","0"
"Total","2698","1776","259","587","10"
