"1","Babcock","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek","Cizek","Blank","Overvote"
"2","","Bjorkman","Cizek","Overvote","","Babcock","Cizek","Overvote","","Babcock","Bjorkman","Overvote","",""
"House District 7","1469","1399","142","0","1682","1065","494","5","406","111","219","2","443","6"
"House District 8","1603","1459","258","1","1906","1339","577","3","584","151","313","0","590","9"
"Total","3072","2858","400","1","3588","2404","1071","8","990","262","532","2","1033","15"
