"1","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek","Overvote","Write-in","Write-in","Write-in","","Babcock","Babcock","Babcock","Babcock","Cizek","Cizek","Cizek","Cizek","Overvote","Write-in","Write-in","Write-in","","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Overvote","Write-in","Write-in","Write-in","","","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek",""
"3","","","Cizek","Overvote","Write-in","","Bjorkman","Write-in","","","Bjorkman","Cizek","","","Cizek","Overvote","Write-in","","Babcock","Overvote","Write-in","","","Babcock","Cizek","","","Bjorkman","Write-in","","Babcock","Overvote","Write-in","","","Babcock","Bjorkman","","","","Bjorkman","Cizek","","Babcock","Cizek","","Babcock","Bjorkman",""
"House District 7","1459","1011","359","1","23","78","58","4","0","10","2","1","1669","684","362","1","13","259","223","1","7","5","12","0","4","401","47","62","0","56","158","0","1","2","3","1","3","6","29","0","3","1","1","5","0","2","1","1","414"
"House District 8","1585","1107","335","1","11","120","133","3","1","17","2","2","1862","948","374","0","12","259","299","0","8","3","23","2","4","572","37","111","2","104","198","1","2","0","10","0","5","9","55","1","3","0","21","3","7","2","1","3","535"
"Total","3044","2118","694","2","34","198","191","7","1","27","4","3","3531","1632","736","1","25","518","522","1","15","8","35","2","8","973","84","173","2","160","356","1","3","2","13","1","8","15","84","1","6","1","22","8","7","4","2","4","949"
