"1","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Dunbar","Overvote","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Tarr","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr","Tarr","Write-in","Write-in","Write-in","","","Dunbar","Dunbar","Dunbar","Overvote","Tarr","Tarr","Tarr","Write-in","Write-in","Write-in","Write-in","","Dunbar","Dunbar","Dunbar","Overvote","Satterfield","Satterfield","Satterfield","Write-in","","Dunbar","Dunbar","Overvote","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr",""
"3","","","Tarr","Write-in","","Overvote","Satterfield","Write-in","","Satterfield","Tarr","","","","Tarr","Write-in","","","Dunbar","Write-in","","Dunbar","Overvote","Tarr","","","Satterfield","Write-in","","","Dunbar","Write-in","","","","Tarr","","","Dunbar","Tarr","","Dunbar","Satterfield",""
"House District 19","408","14","76","0","703","0","377","10","3","1","1","8","698","27","90","1","0","56","130","1","13","1","1","5","241","407","177","3","1","22","48","0","1","8","4","3","1","0","0","1","1","0","2","184"
"House District 20","754","53","125","1","1168","3","613","13","0","1","1","4","1345","51","135","1","3","95","145","3","22","1","0","5","122","248","141","4","1","20","24","1","0","20","0","0","0","2","1","0","0","1","0","342"
"Total","1162","67","201","1","1871","3","990","23","3","2","2","12","2043","78","225","2","3","151","275","4","35","2","1","10","363","655","318","7","2","42","72","1","1","28","4","3","1","2","1","1","1","1","2","526"
