"1","Dunbar","Dunbar","Dunbar","Satterfield","Satterfield","Satterfield","Satterfield","Tarr","Tarr","Tarr","Tarr","Blank","Overvote"
"2","","Satterfield","Tarr","","Dunbar","Overvote","Tarr","","Dunbar","Overvote","Satterfield","",""
"19-605 Airport Heights No. 1","80","17","232","128","17","0","26","55","152","0","14","12","0"
"19-610 Airport Heights No. 2","66","20","168","158","23","0","54","33","64","1","13","15","1"
"19-615 Mountainview No. 1","50","11","70","64","16","0","17","25","39","0","7","4","1"
"19-620 Mountainview No. 2","33","9","50","67","14","1","10","19","25","0","8","11","0"
"19-625 South Mountainview","37","8","81","114","15","0","38","17","45","0","7","6","1"
"20-650 University No. 1","47","9","62","58","7","0","10","3","11","0","0","8","0"
"20-655 University No. 2","85","29","198","210","34","1","31","24","53","0","11","26","0"
"20-660 University No. 3","114","32","264","225","24","0","46","15","55","0","8","21","0"
"20-665 University No. 4","51","17","128","83","14","0","27","8","24","0","3","10","0"
"20-670 University No. 5","160","41","343","408","50","0","78","25","78","0","12","38","0"
"District 19 - Absentee","82","16","306","101","24","0","27","49","172","0","13","46","4"
"District 19 - Early Voting","52","9","167","60","7","0","14","34","83","0","8","11","0"
"District 19  - Question","15","1","20","19","3","0","7","11","7","0","2","87","2"
"District 20 - Absentee","206","32","507","217","40","2","31","26","106","1","3","79","2"
"District 20 - Early Voting","85","17","274","161","20","0","23","19","64","0","6","15","2"
"District 20  - Question","6","3","22","7","0","0","2","2","3","0","2","165","0"
"Total","1169","271","2892","2080","308","4","441","365","981","2","117","554","13"
