"1","Kelley","Murkowski","Blank","Exhausted","Overvote"
"House District 1","1512","3834","166","1359","17"
"House District 10","1345","4372","55","1369","12"
"House District 11","1372","5166","19","1624","9"
"House District 12","1241","4071","107","1338","17"
"House District 13","1051","3567","123","1029","20"
"House District 14","870","4368","30","870","17"
"House District 15","1321","4970","30","1381","7"
"House District 16","1178","5350","148","1374","18"
"House District 17","683","4882","94","793","13"
"House District 18","473","1414","19","385","6"
"House District 19","496","2666","21","532","13"
"House District 2","1284","4765","65","1447","6"
"House District 20","989","3384","105","964","27"
"House District 21","1337","4516","123","1317","20"
"House District 22","805","2379","36","734","10"
"House District 23","1742","4617","34","1935","8"
"House District 24","2145","3591","87","2155","18"
"House District 25","2378","3602","220","2145","33"
"House District 26","2492","2411","37","2253","20"
"House District 27","2191","2195","40","2226","26"
"House District 28","2372","2419","78","2208","21"
"House District 29","2442","3228","229","2290","31"
"House District 3","1234","6142","45","1373","10"
"House District 30","2591","3120","43","2361","20"
"House District 31","1125","3222","27","941","15"
"House District 32","1025","1553","45","778","5"
"House District 33","2275","2233","133","1598","17"
"House District 34","2054","4059","34","1530","16"
"House District 35","1427","5198","25","1224","4"
"House District 36","1924","3774","161","2068","25"
"House District 37","530","2546","80","483","26"
"House District 38","361","3038","62","284","18"
"House District 39","336","3157","27","274","23"
"House District 4","916","5552","193","1034","18"
"House District 40","336","1694","106","329","11"
"House District 5","1122","3698","113","1046","10"
"House District 6","2424","4963","70","2375","15"
"House District 7","1897","3067","35","2430","14"
"House District 8","2768","2864","100","3037","24"
"House District 9","1606","6742","108","1816","12"
"House District 99","6","77","0","21","0"
"Total","57676","148466","3273","56730","652"
