"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"06-260 Kasilof","14","4","5","0","1","21","9","0","1","0","3","2","2","0","27","0","1","0","2","4","1","0","6","0","12","1","6","0","108","81","44","0","2","8","10","0","9","0","8","4","9","0","379","1","6","5","0","196","34","72","0","31","1","32","0","2","7","2"
"06-270 Ninilchik","5","0","2","0","0","5","3","0","1","0","2","0","1","0","5","0","0","0","1","0","1","0","2","0","6","2","1","0","44","38","23","0","7","3","10","0","8","0","0","3","8","0","210","4","3","2","0","99","17","36","0","13","1","10","0","0","3","1"
"06-280 Seldovia-Kachemak Bay","4","0","0","0","0","9","2","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","2","0","2","0","26","29","11","0","2","4","1","0","1","0","3","2","6","0","30","0","0","0","0","12","2","7","0","5","0","2","0","0","3","0"
"07-005 Central","9","2","1","0","0","16","4","0","3","0","1","1","2","0","13","0","1","0","2","3","1","0","0","0","5","3","5","0","68","42","31","0","3","4","14","0","4","0","18","5","9","0","283","1","8","1","0","129","22","49","2","20","6","14","0","0","3","1"
"07-010 K Beach","8","2","1","0","1","13","8","0","4","0","2","2","1","0","17","1","2","0","1","2","0","0","1","0","9","5","7","0","99","47","33","0","7","5","6","0","4","0","22","3","12","0","381","2","9","3","0","169","30","51","0","44","3","26","0","1","5","0"
"07-015 Kenai No. 1","8","1","1","0","5","24","10","0","1","0","1","2","0","0","16","1","0","0","3","1","0","0","4","1","7","4","2","0","87","62","42","0","9","3","12","0","4","0","14","8","13","0","237","1","6","3","0","121","31","48","0","36","5","34","0","0","4","1"
"07-020 Kenai No. 2","5","0","1","0","1","4","10","0","2","0","0","2","1","0","5","0","1","0","0","2","0","0","1","0","4","3","2","0","52","39","19","0","3","2","2","0","2","0","5","4","2","0","167","2","5","3","0","55","22","30","0","22","5","12","0","1","3","0"
"07-025 Kenai No. 3","3","0","0","0","1","15","3","0","4","0","0","0","0","0","2","0","0","0","0","2","0","0","1","0","0","3","0","0","41","27","14","0","7","2","5","0","3","0","10","2","6","0","150","2","3","1","0","59","11","22","0","19","1","8","0","0","1","0"
"07-030 Soldotna","5","0","1","0","2","24","10","0","2","0","0","2","1","0","8","1","1","0","5","1","0","0","0","0","4","3","3","0","110","57","50","0","10","4","20","0","9","0","14","18","15","0","315","6","10","3","0","103","25","44","1","32","3","16","0","0","9","1"
"08-035 Bear Creek","8","1","0","0","2","31","7","0","0","0","2","4","4","0","7","0","0","0","1","1","0","0","1","0","2","2","3","0","63","76","41","0","2","5","9","0","6","0","6","2","6","0","168","4","9","5","0","72","21","24","0","16","1","12","0","1","11","0"
"08-040 Cooper Landing","3","0","1","0","0","6","3","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","19","14","0","2","3","3","0","0","0","0","1","2","0","37","0","0","0","0","18","2","2","0","2","0","0","0","0","2","0"
"08-045 Funny River No. 1","6","0","0","0","1","4","5","0","0","0","1","0","0","0","5","0","1","0","2","0","0","0","3","0","1","1","3","0","24","23","16","0","4","1","4","0","2","0","2","0","1","0","145","4","3","1","0","70","8","29","0","12","2","5","0","0","6","1"
"08-050 Funny River No. 2","3","2","0","0","1","15","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","2","1","2","0","30","20","10","1","1","3","5","0","1","0","6","1","2","0","132","0","4","0","0","69","16","27","0","12","2","5","0","0","4","1"
"08-055 Hope","2","1","1","0","1","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","8","0","2","1","0","0","1","0","0","0","1","0","7","2","1","0","0","6","0","0","0","2","0","0","0","0","0","0"
"08-060 Mackey Lake","8","3","3","0","2","10","4","0","0","0","2","1","0","0","6","0","1","0","1","0","0","0","1","0","5","1","4","0","53","29","28","0","1","0","3","0","6","0","12","2","4","0","245","2","8","0","0","127","20","37","0","20","1","14","0","0","6","0"
"08-065 Moose Pass","4","0","0","0","0","9","2","0","1","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","20","17","13","0","0","0","1","0","0","0","0","2","1","0","32","0","0","0","0","17","2","3","0","4","0","4","0","0","2","0"
"08-070 Nikiski","8","2","1","0","4","12","3","0","1","0","1","1","0","0","8","0","2","0","1","0","0","0","3","0","6","4","4","0","34","35","23","0","1","4","5","0","4","1","4","4","6","0","342","3","13","1","0","163","28","63","0","20","7","13","0","1","11","3"
"08-075 Salamatof","6","1","1","0","4","6","3","0","4","0","1","1","1","0","14","1","2","0","2","1","1","0","4","0","4","2","4","0","41","25","34","0","1","5","21","0","7","0","10","6","9","0","287","3","7","2","0","187","42","78","0","33","2","29","0","0","6","2"
"08-080 Sterling No. 1","8","1","0","0","0","10","6","0","2","0","0","1","1","0","7","0","0","0","1","0","1","0","2","0","5","3","4","0","59","41","24","0","3","4","7","0","3","0","9","2","7","0","282","2","9","1","0","145","30","44","1","26","1","11","0","0","8","0"
"08-085 Sterling No. 2","4","2","0","0","3","3","6","0","0","0","0","0","1","0","6","0","1","0","2","0","1","0","1","0","5","1","7","0","53","30","24","0","4","8","5","0","8","0","4","2","3","0","362","6","13","0","0","176","35","49","0","28","0","15","0","1","9","0"
"09-105 Girdwood","18","1","2","0","1","55","25","0","7","0","2","3","1","0","3","0","0","0","2","1","1","0","1","0","1","0","1","0","114","202","105","0","16","6","9","0","6","0","8","2","8","0","52","3","1","1","0","21","2","8","0","10","1","10","0","0","3","1"
"09-110 Indian","2","0","1","0","0","11","3","0","1","0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","21","24","8","0","0","0","1","0","0","0","0","0","2","0","22","0","1","0","0","8","2","4","0","1","0","3","0","0","4","0"
"09-115 South Anchorage No. 1","13","0","1","0","0","38","9","0","1","0","0","1","1","0","10","0","0","0","0","1","1","0","3","0","1","2","5","0","127","165","105","0","7","10","28","0","11","0","21","3","33","0","199","3","4","0","0","107","21","57","0","50","0","48","0","1","15","1"
"09-120 South Anchorage No. 2","5","0","0","0","1","36","13","0","6","0","0","1","1","0","8","2","1","0","1","0","2","0","2","0","2","0","3","0","138","153","87","0","12","16","30","0","18","0","31","1","20","0","274","4","3","0","0","115","23","51","0","74","2","47","0","0","10","0"
"09-125 South Anchorage No. 3","12","1","0","0","0","45","12","0","2","0","0","0","2","0","7","0","1","0","0","3","0","0","4","0","4","1","4","0","128","193","69","0","5","12","22","0","7","0","16","3","12","0","223","0","5","0","0","85","22","59","0","54","3","38","0","0","20","1"
"09-130 South Anchorage No. 4","3","1","2","0","4","39","14","0","6","0","1","1","0","0","12","1","1","0","1","2","1","0","3","0","3","1","1","0","148","178","102","0","6","11","22","0","12","0","28","9","21","0","196","12","2","1","0","110","13","64","0","50","6","40","1","1","5","1"
"09-135 South Anchorage No. 5","5","0","3","0","1","16","3","0","1","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","3","0","57","81","44","0","3","3","10","0","8","0","10","2","6","0","95","0","2","1","0","45","12","25","0","19","2","13","0","0","7","0"
"09-140 Stuckagain Heights","0","1","0","0","0","8","1","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","14","39","15","0","0","0","6","0","0","0","2","1","1","0","28","1","0","0","0","3","4","7","0","11","1","2","0","0","1","1"
"09-145 Whittier","1","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","34","4","9","0","0","0","2","0","2","0","0","2","6","0","13","1","2","0","0","6","1","3","0","1","0","2","0","0","1","0"
"10-150 Dimond","22","3","0","0","2","26","15","0","9","1","0","1","0","0","4","1","1","0","0","0","0","0","4","0","3","2","1","0","89","66","41","0","9","2","14","0","15","1","9","7","15","0","116","3","3","2","0","56","28","34","0","8","3","13","0","0","8","0"
"10-155 Oceanview No. 1","10","1","3","0","1","25","11","0","5","0","1","0","1","0","6","0","0","0","1","0","0","0","5","0","4","2","5","0","152","121","79","0","14","7","25","0","20","0","22","3","23","0","167","0","3","2","0","83","15","49","0","25","0","29","0","0","5","2"
"10-160 Oceanview No. 2","6","1","1","0","1","28","4","0","1","0","0","0","2","0","4","0","0","0","2","0","1","0","3","0","2","2","4","0","136","91","51","2","9","3","12","0","6","0","9","1","17","0","122","1","3","3","0","59","15","45","0","31","3","19","0","0","1","2"
"10-165 Oceanview No. 3","17","1","6","0","1","36","15","0","6","0","4","1","2","0","4","0","1","0","0","3","1","0","5","0","2","3","3","0","137","88","73","0","8","3","25","0","14","0","14","8","12","0","184","1","2","0","0","107","15","45","0","29","2","19","1","0","7","2"
"10-170 Oceanview No. 4","11","1","4","0","0","28","7","0","3","0","0","0","1","0","4","0","0","0","0","1","1","0","2","0","3","0","0","0","110","129","54","0","4","8","14","0","11","0","16","4","17","0","137","1","2","3","0","85","12","51","0","36","5","31","0","0","5","0"
"10-175 Oceanview No. 5","10","0","1","0","0","26","9","0","2","0","0","1","1","0","4","1","0","0","1","0","0","0","2","0","4","1","2","0","85","82","55","0","5","5","11","0","6","0","9","4","9","0","130","0","6","2","0","59","2","37","0","20","2","18","0","0","7","1"
"11-205 Hillside No. 1","8","1","1","0","2","24","9","0","3","0","0","1","1","0","4","0","2","0","0","0","0","0","1","0","2","0","1","0","70","37","58","0","9","3","11","0","1","0","4","6","6","0","103","2","4","1","0","46","23","23","0","15","6","12","0","0","0","0"
"11-210 Hillside No. 2","13","1","2","0","2","46","18","0","9","0","0","2","2","0","5","0","0","0","0","4","2","0","2","0","4","2","5","0","138","115","86","0","23","5","19","0","6","0","29","16","22","0","199","1","5","3","0","79","25","53","1","41","6","37","0","1","2","2"
"11-215 Hillside No. 3","3","0","1","0","0","15","4","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","1","0","2","0","4","0","86","72","52","0","7","8","12","0","9","1","9","9","13","0","121","3","1","3","0","66","15","30","0","33","6","23","0","0","0","0"
"11-220 Hillside No. 4","11","0","0","0","1","19","4","1","7","0","0","0","0","0","0","1","2","0","1","1","0","0","1","0","3","0","4","0","94","59","45","0","11","5","12","0","6","0","18","5","7","0","149","0","4","2","0","67","14","39","0","40","2","23","0","0","1","0"
"11-225 Hillside No. 5","8","1","1","0","1","28","6","0","2","0","0","0","0","0","1","0","1","0","0","1","0","0","3","0","1","0","3","0","108","107","43","0","8","3","16","0","5","0","26","4","3","0","153","1","3","0","0","55","10","39","0","30","1","18","0","0","4","0"
"11-230 Hillside No. 6","6","1","0","0","0","35","10","0","5","0","0","0","2","0","2","0","1","0","1","1","0","0","2","0","2","1","5","0","88","145","77","0","9","7","12","0","12","0","15","4","24","0","169","1","4","2","0","72","16","47","0","50","5","22","0","0","1","0"
"11-235 Hillside No. 7","3","1","0","0","1","25","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","74","106","51","0","9","4","10","0","5","0","8","3","8","0","138","3","2","1","0","66","10","19","0","23","3","13","0","1","0","1"
"12-250 Southeast Anchorage No. 1","31","0","2","0","2","41","20","0","3","0","0","6","6","0","2","1","1","0","0","1","2","0","2","0","2","1","1","0","81","71","59","0","11","6","16","0","11","0","6","8","10","0","141","3","8","3","0","78","21","36","0","16","3","14","0","0","9","0"
"12-255 Southeast Anchorage No. 2","6","3","3","0","4","27","4","0","2","0","0","2","1","0","5","0","0","0","0","1","0","0","0","0","1","2","3","0","62","56","30","0","7","8","17","0","4","0","5","3","3","0","84","3","4","2","0","46","19","30","0","21","4","14","0","0","8","0"
"12-260 Southeast Anchorage No. 3","20","0","3","0","4","24","5","0","2","0","0","4","1","0","3","0","1","0","2","0","0","0","1","0","2","3","2","0","86","82","64","0","9","10","20","0","7","0","9","8","4","0","134","2","4","2","0","56","19","31","0","15","7","13","0","0","16","0"
"12-265 Southeast Anchorage No. 4","19","0","3","0","1","32","11","0","4","0","1","1","1","0","4","1","2","0","0","0","1","0","4","0","1","0","3","0","87","89","68","0","8","8","21","0","8","0","6","9","6","0","150","1","9","1","0","63","12","27","0","14","4","18","0","1","12","4"
"12-270 Southeast Anchorage No. 5","28","1","3","0","4","36","30","0","4","0","1","2","2","0","6","0","2","0","1","1","4","0","2","0","3","1","2","0","104","89","76","0","10","11","32","0","10","1","14","5","15","0","177","2","10","1","0","85","22","42","0","15","9","14","0","1","10","1"
"12-275 Southeast Anchorage No. 6","11","0","0","0","0","43","11","0","4","0","0","1","0","0","4","0","0","0","2","0","3","0","1","0","1","0","1","0","107","149","83","0","16","4","20","0","9","0","11","4","17","0","136","0","5","0","0","71","9","35","0","28","1","25","0","1","10","1"
"13-305 South Midtown No. 1","2","2","2","0","0","12","3","0","0","0","0","1","0","0","4","1","2","0","0","1","1","0","0","0","3","0","0","0","26","18","20","0","0","3","4","0","1","0","2","2","2","0","37","0","2","0","0","11","2","6","0","8","0","5","0","0","5","0"
"13-310 South Midtown No. 2","20","2","6","0","2","35","29","0","4","1","1","4","2","0","11","0","2","0","3","5","3","0","5","1","6","0","2","0","129","108","77","1","6","4","17","0","8","0","20","6","19","0","170","2","4","1","0","71","29","40","0","19","5","31","0","0","25","2"
"13-315 South Midtown No. 3","26","2","6","0","1","56","25","0","1","0","2","2","1","0","17","0","0","0","0","4","0","0","2","0","3","3","4","0","106","130","91","0","8","6","24","0","11","0","22","6","21","0","172","1","4","0","0","72","29","48","0","25","4","24","0","0","23","3"
"13-320 South Midtown No. 4","18","2","8","0","1","38","21","0","8","0","0","1","2","0","18","0","2","0","1","3","2","0","2","0","1","1","4","0","82","90","92","0","11","3","18","0","2","1","4","7","19","0","126","3","3","2","0","75","17","32","0","17","4","26","0","1","23","0"
"13-325 South Midtown No. 5","24","2","4","0","0","71","29","0","8","0","1","3","0","0","10","3","3","0","2","0","1","0","3","0","4","0","4","0","133","105","77","0","3","4","27","0","5","0","6","10","12","0","117","2","4","0","1","60","14","31","0","19","4","19","0","0","13","1"
"14-350 North Midtown No. 1","9","0","1","0","0","18","7","0","4","0","0","0","0","0","6","0","0","0","2","0","0","0","0","0","1","0","1","0","51","46","32","0","5","3","2","0","2","0","2","1","9","0","39","0","1","0","0","17","6","11","0","8","3","5","0","0","0","1"
"14-355 North Midtown No. 2","16","1","0","0","1","19","12","0","3","0","0","0","0","0","3","2","1","0","0","1","0","0","2","0","0","1","1","0","53","55","29","0","6","4","14","0","7","1","9","2","5","0","46","2","3","0","0","32","7","8","0","4","0","12","0","0","2","1"
"14-360 North Midtown No. 3","4","1","3","0","0","19","4","0","3","0","0","0","0","0","4","1","0","0","0","1","0","0","1","0","1","1","0","0","54","29","32","0","6","2","6","1","8","0","6","5","8","0","38","0","0","0","0","22","8","12","0","5","0","7","0","0","0","0"
"14-365 North Midtown No. 4","27","0","3","0","2","22","15","0","1","0","0","2","3","0","6","0","2","0","0","0","0","0","1","0","0","1","0","0","59","40","46","0","9","0","13","0","9","1","1","4","9","0","46","1","1","1","0","14","11","14","0","6","2","10","0","0","1","0"
"14-370 North Midtown No. 5","15","1","2","0","0","47","20","0","4","1","0","3","3","0","4","1","0","0","1","1","1","0","6","0","3","0","6","0","127","89","69","0","6","3","15","0","13","0","6","6","7","0","115","2","2","0","0","61","15","31","0","15","4","14","0","2","5","2"
"14-375 North Midtown No. 6","10","1","1","0","0","20","12","0","2","0","1","1","4","0","3","0","0","0","2","0","2","0","1","0","0","2","7","0","75","77","45","0","6","2","11","0","4","0","7","2","10","0","63","2","2","0","0","31","10","20","0","8","4","8","0","0","1","3"
"14-380 North Midtown No. 7","11","1","2","0","0","70","22","1","6","0","1","1","1","0","6","0","1","0","1","0","0","0","1","0","4","0","4","0","163","204","93","0","10","9","19","0","14","0","8","4","12","0","100","1","1","0","0","60","12","26","0","12","2","14","0","0","2","1"
"15-405 Southwest Anchorage No. 1","5","0","0","0","0","22","9","0","2","0","0","2","0","0","2","0","1","0","0","2","0","0","2","0","4","2","0","0","79","98","43","0","16","6","7","0","5","0","11","8","11","0","109","1","2","1","0","44","8","26","0","35","3","29","0","0","1","0"
"15-410 Southwest Anchorage No. 2","14","1","2","0","4","20","12","0","6","0","0","1","1","0","3","0","0","0","0","0","1","0","2","0","1","0","0","0","102","81","61","0","16","2","18","0","6","0","14","7","17","1","135","1","4","0","0","78","14","35","0","28","9","22","0","0","6","1"
"15-415 Southwest Anchorage No. 3","19","1","1","0","2","25","15","0","5","0","0","2","2","0","4","1","0","0","0","0","1","0","3","0","1","3","3","0","121","117","77","0","10","6","20","0","2","1","14","14","19","0","171","5","4","2","0","91","27","52","0","33","10","24","0","0","1","2"
"15-420 Southwest Anchorage No. 4","16","0","2","0","3","34","13","0","3","0","0","0","2","0","5","1","3","0","1","1","1","0","2","0","2","0","0","0","78","65","81","1","13","4","9","0","7","0","11","12","18","0","120","3","3","1","0","45","24","26","0","18","5","19","0","0","3","0"
"15-425 Southwest Anchorage No. 5","10","0","2","0","0","32","17","0","4","1","0","1","2","0","1","0","0","0","1","0","2","0","2","0","1","0","3","0","112","123","62","0","11","10","23","0","3","1","15","10","14","0","110","3","6","1","0","66","14","36","0","40","4","22","0","0","5","0"
"15-430 Southwest Anchorage No. 6","9","0","1","0","1","43","17","0","7","0","1","0","0","0","6","0","0","0","0","2","0","0","3","0","0","1","2","0","158","164","89","0","20","10","20","0","9","0","25","17","22","0","217","4","3","1","0","111","23","60","0","47","11","35","0","1","5","0"
"16-450 West Anchorage No. 1","11","6","1","0","2","45","12","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","105","175","76","0","7","5","18","0","1","0","10","4","8","0","68","4","1","1","0","23","9","8","0","16","5","12","0","0","16","0"
"16-455 West Anchorage No. 2","17","0","4","0","3","33","19","0","4","0","0","2","4","0","3","0","0","0","0","0","1","0","1","0","2","0","3","0","95","128","63","0","8","3","22","0","8","0","9","9","12","1","97","2","5","2","0","33","14","31","0","18","3","11","0","0","17","0"
"16-460 West Anchorage No. 3","33","3","1","0","2","49","10","0","10","0","0","2","2","0","3","0","1","0","1","0","1","0","1","0","3","2","3","0","144","144","110","0","10","10","27","0","10","0","9","9","13","0","122","6","7","0","0","87","19","40","0","32","7","22","0","0","14","2"
"16-465 West Anchorage No. 4","9","1","3","0","4","21","11","0","3","0","0","2","1","0","3","0","1","0","1","0","2","0","1","0","0","0","0","0","76","61","39","0","6","2","16","0","6","0","5","4","3","0","78","3","3","1","0","44","9","31","1","16","2","10","0","1","4","1"
"16-470 West Anchorage No. 5","22","1","4","0","3","39","4","0","1","0","0","1","0","0","5","0","0","0","4","0","0","0","0","0","3","2","6","0","117","121","63","0","13","5","21","0","7","0","13","7","19","0","162","5","7","1","0","71","20","49","1","22","1","26","0","0","17","1"
"16-475 West Anchorage No. 6","20","1","1","0","1","31","9","0","4","0","1","2","2","0","3","0","0","0","0","1","1","0","0","0","2","1","4","0","77","84","84","0","9","10","19","0","5","0","9","5","11","0","145","0","8","1","0","62","14","36","0","33","5","20","0","0","8","2"
"16-480 West Anchorage No. 7","24","1","1","0","3","24","9","1","6","0","1","2","0","0","1","2","0","0","2","1","0","0","1","0","0","2","1","0","77","71","47","0","7","5","17","0","11","0","4","7","5","0","82","0","7","2","0","34","13","30","0","10","4","15","0","0","7","0"
"17-505 Downtown Anchorage No. 1","11","1","2","0","1","20","12","0","2","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0","1","0","58","89","43","0","2","4","5","0","7","0","6","2","3","0","44","1","2","0","0","18","2","8","0","6","1","10","0","0","7","0"
"17-510 Downtown Anchorage No. 2","12","1","1","0","4","35","11","0","3","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","106","141","61","0","7","3","11","0","1","1","8","4","5","0","46","6","4","1","0","22","3","7","0","12","3","5","0","0","7","2"
"17-515 Downtown Anchorage No. 3","3","0","0","0","0","27","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","55","93","42","0","9","4","6","0","3","0","11","1","7","0","36","0","0","0","0","14","5","11","0","9","0","7","0","0","4","1"
"17-520 Downtown Anchorage No. 4","16","3","3","0","0","51","17","0","5","0","0","1","0","0","7","1","0","0","2","0","1","0","0","0","5","0","2","0","95","123","80","1","5","5","13","0","6","0","4","3","7","1","51","5","3","3","0","33","9","19","0","12","2","12","0","0","8","1"
"17-525 Downtown Anchorage No. 5","15","0","4","0","1","35","19","0","4","0","0","1","2","0","3","0","0","0","0","1","0","0","1","0","0","2","1","0","63","75","48","0","2","1","9","0","5","0","7","3","6","0","44","1","3","0","0","9","7","14","0","12","1","12","0","0","12","0"
"17-530 Downtown Anchorage No. 6","21","1","1","0","1","24","7","0","0","0","0","1","3","0","8","0","1","0","0","2","0","0","0","0","1","1","1","0","47","48","32","0","2","3","5","0","5","1","1","0","4","0","27","2","5","2","0","10","2","7","0","3","1","9","0","0","8","0"
"17-535 Downtown Anchorage No. 7","23","0","2","0","2","34","10","0","5","0","1","2","0","0","6","0","1","0","0","1","1","0","3","0","2","0","0","0","55","65","41","0","5","0","5","0","2","0","4","3","3","0","33","1","4","1","0","15","8","22","0","4","4","18","0","0","9","1"
"18-550 Government Hill","16","3","2","0","2","23","6","1","4","0","0","1","0","0","3","0","0","0","0","1","0","0","1","0","1","0","0","0","47","66","28","0","6","3","7","0","4","0","4","3","6","0","44","0","1","2","0","22","5","15","0","4","0","9","0","0","3","0"
"18-555 JBER","25","0","3","0","2","21","14","0","11","0","2","2","8","0","4","1","0","0","0","1","0","0","8","0","9","0","9","0","38","30","18","0","4","7","7","0","17","0","4","0","17","0","61","1","2","1","0","39","17","41","0","19","2","35","0","0","2","1"
"18-560 North Muldoon","13","0","1","0","2","25","7","0","1","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","2","1","3","0","40","21","31","0","6","4","13","0","7","1","2","0","3","0","42","1","1","1","0","22","9","15","1","3","1","5","2","0","5","1"
"18-565 Ship Creek","4","1","0","0","0","4","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","12","10","0","2","0","0","0","0","0","1","0","1","0","11","0","0","0","0","5","4","1","0","1","3","2","0","0","0","0"
"19-605 Airport Heights No. 1","16","2","0","0","4","63","12","0","7","0","2","0","2","0","4","1","4","0","0","1","1","0","0","0","2","1","2","0","134","177","74","0","15","9","13","0","3","0","9","9","8","0","75","0","8","0","0","26","7","12","0","12","1","12","0","0","4","1"
"19-610 Airport Heights No. 2","16","0","3","0","4","33","14","0","6","0","1","1","1","0","5","0","2","0","2","0","1","0","1","0","3","4","3","0","88","72","69","0","16","5","15","0","7","0","11","16","11","0","93","3","3","4","0","28","20","18","0","12","5","11","0","0","6","3"
"19-615 Mountainview No. 1","16","0","1","0","1","14","4","0","3","0","0","1","1","0","2","0","1","0","1","1","1","0","1","0","2","1","1","0","56","46","30","0","5","4","9","0","6","0","6","7","3","0","35","0","4","0","0","11","5","12","0","5","1","5","0","0","2","0"
"19-620 Mountainview No. 2","10","0","2","0","0","9","4","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","1","0","3","2","2","0","35","19","30","0","5","2","9","0","2","1","3","5","3","1","42","1","2","0","0","23","7","7","0","1","5","8","0","0","0","0"
"19-625 South Mountainview","6","0","2","0","3","12","8","0","7","1","0","1","1","0","2","0","1","0","2","0","0","0","1","0","0","1","3","0","46","40","33","0","12","5","10","0","7","0","5","12","14","0","54","0","2","0","0","21","7","21","0","14","3","9","0","0","1","2"
"20-650 University No. 1","8","1","5","0","1","16","9","0","2","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","24","24","17","0","3","2","6","0","2","1","6","1","2","0","30","1","2","0","0","18","5","8","0","2","1","5","0","0","4","4"
"20-655 University No. 2","33","3","3","0","4","40","20","0","7","1","0","5","0","0","8","0","1","0","1","1","2","0","1","0","3","2","4","0","72","80","63","0","16","6","18","0","5","0","9","10","9","0","109","1","7","1","0","63","25","23","0","17","5","7","0","0","15","2"
"20-660 University No. 3","19","1","3","0","8","53","20","1","10","1","1","5","2","0","0","0","1","0","1","1","0","0","0","1","1","1","3","0","93","121","90","0","11","3","22","0","8","0","6","3","8","0","122","1","8","3","0","61","23","27","0","22","4","16","0","1","17","1"
"20-665 University No. 4","20","0","3","0","4","20","18","0","0","0","0","1","0","0","2","0","1","0","3","0","0","0","2","0","1","0","2","0","45","51","43","0","8","1","8","0","2","1","4","6","2","0","41","0","4","0","0","25","11","19","0","7","2","6","0","0","2","0"
"20-670 University No. 5","41","2","5","0","8","58","31","0","9","0","0","5","1","0","4","0","0","0","2","2","2","0","1","0","1","3","4","0","166","138","101","0","20","9","36","0","12","2","13","12","14","0","188","7","13","4","0","139","26","60","0","24","2","31","0","3","29","5"
"21-705 East Anchorage No. 1","21","0","3","0","1","44","17","0","9","0","0","1","2","0","7","0","0","0","1","1","0","0","2","0","1","3","2","0","103","119","88","0","6","5","13","1","4","0","6","3","8","0","128","3","5","0","0","55","20","22","0","12","0","10","1","0","21","1"
"21-710 East Anchorage No. 2","16","1","3","0","1","33","18","0","7","0","1","0","1","0","4","0","1","0","1","1","1","0","1","0","5","2","2","0","89","78","86","0","10","5","15","0","9","0","10","4","11","0","164","1","0","0","0","81","22","42","0","17","1","19","0","0","19","4"
"21-715 East Anchorage No. 3","24","1","6","0","4","45","33","0","5","0","1","3","0","0","19","3","3","1","0","6","2","0","3","1","5","3","9","0","132","97","110","0","10","7","34","0","16","1","7","6","17","0","169","2","5","2","0","75","34","54","0","19","1","22","1","0","16","4"
"21-720 East Anchorage No. 4","25","1","3","0","3","57","22","0","4","1","1","1","2","0","9","3","1","0","2","4","2","0","2","0","2","1","9","0","97","125","70","0","11","7","14","0","11","1","10","3","14","0","140","1","4","1","0","68","15","33","0","22","4","24","0","0","11","0"
"21-725 East Anchorage No. 5","25","1","8","0","4","57","25","0","7","0","0","3","0","0","20","2","2","0","1","5","0","0","3","0","3","3","4","0","158","176","97","0","17","8","20","0","8","1","23","4","16","0","189","5","7","1","0","90","18","52","1","30","1","35","0","1","18","2"
